r1q1kb1r/5ppp/p1p1pn2/3p1b2/3P1B2/1QN1PN2/PP3PPP/R3K2R w KQkq -,a1c1 f8e7 c3a4 f6d7 e1h1 a8a7 b3c3 e8h8 f1d1 c8b7
r6k/1pp3p1/1p1pn3/4p2p/PP2P2P/2PPNr2/R4P1K/5R2 w - -,h2g2 a8f8 a2d2 f3f4 f1h1 f4f7 e3d5 h8h7 g2f1 g7g6
1r1q4/Q5bk/2np2pp/1pp1p3/5r2/1BPPN2P/PP3PP1/R3R1K1 w - -,a7a6 b8b6 a6a3 b5b4 c3b4 c6b4 a3a5 d8b8 b3c4 f4d4
3rr1k1/ppp2ppp/2n5/2q5/4n3/2PP1N1P/PP2BPP1/R2QK2R w - -,d3e4 d8d1 a1d1 e8e4 e1f1 g7g6 h3h4 c6e5 h4h5 e5g4
r2qkb1r/1b1n1p2/p2p3p/1PpPp1p1/2N1P3/1QP2NP1/1P3PBP/R4RK1 w kq -,b5a6 b7a6 b3a4 g5g4 f3e5 d6e5 a4c6 h6h5 a1a6 a8a6
r1bq1r2/bpp2pk1/p1np3p/4p2n/1PB1P2P/2PP1p2/P2N1PPB/R2Q1RK1 w - -,d2f3 c8g4 c4d5 d8f6 d3d4 e5d4 d5c6 b7c6 c3d4 g4f3
r2q1rk1/pp1b1p1p/4p1p1/3n2P1/3QNP1P/8/PPP5/1K1R1B1R w - -,f1c4 a8c8 c4d5 e6d5 e4f6 d8f6 g5f6 d7f5 b1a1 f5e4
rnb1qrk1/p1p3b1/1p1p2pp/3Ppp2/2P1P1nB/2N5/PP1NBPPP/R2QK2R w KQ -,a2a3 g6g5 h4g3 h6h5 h2h3 g4f6 f2f3 h5h4 g3f2 f6h5
r7/ppp5/1b1p1k1p/3PpNp1/4P3/2P3r1/PP2RP1K/8 w - -,h2g3 h6h5 a2a4 a7a5 f2f3 b6c5 e2c2 a8c8 c2c1 c7c6
r1bqk2r/p2nppbp/3p1np1/1ppP2B1/2P1PP2/8/PPQ3PP/RN2KBNR w KQkq -,b1d2 f6g4 f4f5 g6f5 e4f5 h7h6 g5f4 b5c4 d2c4 g4f6
r4rk1/4bpp1/q3n2p/1p5P/8/pP2Q1N1/P2B1PP1/1K1R3R w - -,g3f5 e7g5 e3f3 g5d2 d1d2 a6a5 d2d7 g8h8 d7d5 a8e8
r3br2/pp3Nk1/2p1p2p/7B/8/8/PPP2RPP/5RK1 w - -,f2f3 e8f7 f3f7 g7g8 f7f6 e6e5 f6f8 a8f8 f1e1 f8d8
4r3/pp3pk1/4qpp1/2bp4/6P1/P5NP/1PPQ1PK1/5R2 w - -,
b2bq1k1/p1pp1rpn/1r6/1p6/1P2pN2/3P2QN/P1P3PP/BR3RK1 w - -,d3e4 h7f6 e4e5 f6e4 g3d3 b6h6 a1d4 e4g5 d3b3 g5h3
rn1qkb1r/1p3ppp/p2pbn2/2p1p3/2B1P3/P1N2N1P/1PPP1PP1/R1BQK2R w KQkq -,c4e6 f7e6 b2b4 c5b4 a3b4 b8c6 e1h1 f8e7 b4b5 a6b5
8/1krb3Q/pn6/1p6/3n1Q2/2N5/PPP1B1PP/2K4R w - -,c4a2 f8e7 d2d3 e8h8 e1h1 b7b5 c1g5 b8c6 g5f6 e7f6
r1qr2k1/pp1bbppp/2n1pn2/4N3/2Np1B2/1Q4P1/PP2PPBP/2R2RK1 w - -,e5d7 f6d7 b3b5 a7a6 b5b3 h7h6 a2a3 e7f8 a3a4 d7c5
r7/ppp5/1b1p1k2/3PpNpp/4P3/2P3P1/PP2R2K/8 w - -,e2e1 f6g6 f5e7 g6g7 e7f5 g7h7 e1h1 h7g6 f5e7 g6f6
3r4/6R1/p7/1pp2p1k/8/1PPP1PP1/1P6/5K2 w - -,f1e2 d8e8 e2f2 b5b4 g7c7 h5g6 c7c5 e8e6 c5a5 g6f6
6R1/8/8/8/2p5/kp6/p6r/K7 w - -,g8a8 a3b4 a8a4 b4c3 a4c4 c3d2 c4d4 d2c1 d4d1 c1c2
rnbqk2r/pppp1ppp/8/2b1p3/2B1n3/P6Q/1PPP1PPP/RNB1K1NR w - -,h3f3 d7d5 d2d3 c5f2 e1f1 d5c4 d3e4 f2b6 b1c3 d8h4
r1b1r1k1/ppq1bppp/4pn2/2p5/2PP4/5NP1/PPQ2PBP/R1BR2K1 w - -,c1f4 e7d6 f4d6 c7d6 c2c3 a8b8 d4c5 d6c5 f3e5 c5c7
r3kb1r/1bqp1pp1/p1n1p2p/1p2Pn2/8/1BN2NB1/PP2QPPP/R3K2R w KQkq -,a1d1 g7g5 h2h3 f5g3 f2g3 e8a8 d1c1 c7b6 a2a4 b5b4
5r1k/1pp3p1/1p1pn3/4p2p/PP2P2P/2PPNr2/R4PK1/5R2 w - -,a2d2 f3f4 f1h1 f4f7 e3d5 h8g8 a4a5 b6a5 b4a5 f8a8
4r3/pp2kp1p/2p2p2/8/2n2B2/2P3PB/P4P1P/3R2K1 w - -,d1d7 e7f8 f4h6 f8g8 d7b7 f6f5 b7b1 c4b6 h3f5 e8e5
r4r2/pp3bk1/2p1p2p/7B/8/5R2/PPP3PP/5RK1 w - -,f3f7 g7g8 f7f6 f8f6 f1f6 a8f8 f6e6 f8f5 h5e2 f5a5
r3k2r/ppqnbppp/2p5/4p2n/2BPP3/2P1BP2/PP5P/RN2QR1K w kq -,c4b3 e8h8 e1e2 a8d8 f1g1 g8h8 b1d2 h5f4 e3f4 e5f4
4r3/pp3pk1/4qpp1/2b5/3p2P1/P5NP/1PPQ1PK1/3R4 w - -,
r2qkb1r/pp3ppp/2n1b3/2ppPn2/5P2/2NP2P1/PP2N1BP/R1BQK2R w KQkq -,a2a3 d8d7 e1h1 h7h5 h2h3 g7g6 g1h2 f8e7 e2g1 a8b8
rnb1kb1r/ppqppp1p/5np1/2P5/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq -,e2e4 c7c5 c1e3 c5c7 f1d3 b8c6 h2h3 f8g7 f2f4 d7d6
8/8/4kp1p/p7/4K2p/4P1P1/P7/8 w - -,e4f3 h4g3 f3g3 e6f5 g3f3 f5e5 e3e4 a5a4 f3e3 h6h5
6k1/7p/p2R2p1/1p6/8/1P2pq1P/1P1R3K/8 w - -,d2c2 f3f4 h2g1 f4d6 g1g2 d6d1 c2c8 g8f7 c8c7 f7e6
rn2k2r/ppq2pp1/2pbpn1p/8/3P4/2NB3P/PPPB1PP1/R2Q1RK1 w kq -,d1f3 b8d7 c3e4 f6e4 f3e4 d7f6 e4f3 d6e7 a2a4 a7a5
8/8/r1K1R1p1/1p6/1P3k2/2P5/6P1/8 w - -,c6b5 a6e6 c3c4 f4e5 b5c5 e6e8 c5b6 e8b8 b6c5 b8c8
7r/3Rbkp1/2p4p/3p4/3P4/r3P3/4BPPP/5RK1 w - -,f1c1 h8b8 e2h5 g7g6 h5g6 f7g6 d7e7 a3c3 c1d1 g6f6
2r5/2P3pp/k4p2/3N4/5P2/2P5/P5PP/6K1 w - -,a2a4 a6a7 g1f2 a7b7 a4a5 g7g6 f2f3 c8f8 a5a6 b7a6
3r3r/pQ2qp2/1p1k2p1/P3p1Np/3b3P/P3B1P1/4PPB1/2RR2K1 w - -,g1f1 a6b7 f1e2 c8e8 e2d3 e8e1 a2a4 e1a1 c3c4 b7c8
1rr3k1/3q2pp/p4p2/3p4/1bpP1P2/5N2/4Q1PP/R3RK2 w - -,f3d2 a6a5 e1b1 c8e8 e2d1 d7f5 d2f3 f5f4 d1c2 e8e7
3r1rk1/5pp1/q3n2p/1p3N1P/8/pPQ5/P4PP1/1K1R3R w - -,b3b4 a6a4 c3b3 a4a7 f2f3 f8e8 f5d6 e6d4 d1d4 a7d4
r2qrbk1/1b3ppp/p4n2/1p1p4/4P2P/PBN1QP2/1PP3P1/2KR3R w - -,g2g4 d8c7 g4g5 f8c5 e3e1 f6h5 c3d5 b7d5 d1d5 h5f4
r7/pp3p2/2p4k/5p1p/2bP1n1P/5NR1/PPK5/5R2 w - -,f1e1 f4g6 f3e5 c4d5 e5g6 f7g6 e1g1 d5f7 g3e3 a8f8
r7/pp3rk1/2p1p2p/7B/8/8/PPP3PP/5RK1 w - -,f1f7 g7g8 f7e7 a8d8 e7e6 g8f8 e6e4 d8d5 h5e2 d5a5
1r2b1k1/2p2qbn/1pnp4/p3p1P1/4P2P/2PP1Q2/PP4B1/R1B2RK1 w - -,f3g3 f7g6 g2h3 d6d5 h3g4 c6e7 h4h5 g6c6 h5h6 g7h8
8/1p3bp1/p7/5PP1/3k1K2/1P1pp3/P2N4/8 w - -,d2f3 d4c3 f4e3 a6a5 f3d2 f7e8 d2b1 c3b2 b1d2 b2c2
r4k1r/1p3pbp/p4p2/8/2Pp4/8/PP4PP/R1BbR1K1 w - -,
3r2k1/5pp1/p3p2p/8/Q7/1P1qP1NP/Pb3PP1/5RK1 w - -,a4e4 b2a3 e4d3 d8d3 f1e1 a6a5 g3f1 d3c3 e1e2 h6h5
3R4/6kp/p5p1/1p6/8/1P2pq1P/1P1R3K/8 w - -,d2d1 f3f2 h2h1 e3e2 d1g1 e2e1q g1e1 f2e1 h1g2 e1e2
1R6/8/8/8/2p5/kp6/p6r/K7 w - -,b8a8 a3b4 a8a4 b4b5 a4b4 b5c6 b4c4 c6d5 c4c5 d5e6
8/2r3pk/4b2p/3pPp2/2q2P2/5BQP/6PK/R7 w - -,h3h4 d5d4 h4h5 e6f7 g3h3 f7e6 a1b1 d4d3 h3g3 e6f7
5rk1/5pp1/q3n2p/5N1P/1Q6/pP6/P4PP1/1K1rR3 w - -,e1d1 a6e2 b4d2 e2e4 d2d3 e4g2 f5e7 g8h8 d3f5 g2h2
r1bqr1k1/1p1n1pbp/p2p1np1/3P4/P1p1PP2/2N2NPP/1PB3K1/R1BQ1R2 w - -,c1e3 b7b6 f3d2 c8b7 d1f3 a8c8 f1e1 d7c5 e3f2 d8c7
r1bq1rk1/p2nppbp/3p1np1/1ppP2B1/2P1PP2/5N2/PPQ3PP/RN2KB1R w KQ -,b1d2 h7h6 g5f6 d7f6 c4b5 e7e6 d5e6 c8e6 a2a4 f8e8
3rr1k1/ppp2ppp/1qn5/8/3Pn3/2P2N1P/PP2BPP1/R2QK2R w - -,d1b3 b6a5 a1d1 a5f5 e1f1 c6e7 e2d3 e7d5 d3e4 e8e4
4Q3/1p2P1p1/kPp2p1p/2P5/1q1K4/4R3/8/8 w - -,
r3k1nr/p3bppp/2ppb3/8/8/BPK2P2/P1P3qP/RN1QR3 w kq -,d1d3 e7f6 c3b4 f6a1 b1c3 c6c5 b4a4 a1c3 e1e6 f7e6
rn1q1rk1/pp2ppbp/3p1np1/2pP4/8/2N1Pb2/PPP1BPPP/R1BQ1RK1 w - -,d1d3 f3e2 d3e2 e7e6 e3e4 e6d5 c1g5 d5d4 c3d5 b8d7
5r1k/1pp3p1/1p1pnr2/4p2p/PP2P2P/2PPN3/3R1PK1/5R2 w - -,f2f3 f6f4 g2g3 g7g5 h4g5 e6g5 d2h2 f4f3 g3g2 f3f1
r4rk1/ppqnbppp/2p5/4p2n/2BPP3/2P1BP2/PP1N3P/R3QR1K w - -,a2a4 g8h8 a1d1 a8e8 c4d3 f7f5 d2c4 f5e4 f3e4 e5d4
1rr3k1/3q2pp/p4p2/3p4/2pP1P2/b4N2/4Q1PP/3RRK2 w - -,f1g1 a3b4 e1f1 c8e8 e2c2 a6a5 d1b1 e8e4 g2g3 d7e6
8/8/4R1p1/1p1K4/1P3k2/r1P5/6P1/8 w - -,e6f6 f4g5 f6c6 g5f4 c6c5 g6g5 d5c6 g5g4 c6b5 a3a2
2r5/1kP3pp/5p2/3N4/P4P2/2P5/6PP/6K1 w - -,a4a5 g7g6 g1f2 f6f5 f2g3 h7h6 g3f3 h6h5 c3c4 h5h4
8/3R3p/p5pk/1p6/8/1P2pq1P/1P1R3K/8 w - -,d2d1 e3e2 d1g1 f3f2 h2h1 f2g1 h1g1 e2e1q g1g2 e1e4
5br1/p2k2nQ/1qp1nP2/1p1p3p/3P3P/2P5/PP1N1B2/2K3R1 w - -,h7g8 g7e8 g8f7 d7d8 f7e6 c6c5 e6d5 b6d6 d5a8 d8d7
r1bq3r/pp1pp1kp/5bp1/8/2nN4/2N1BQ2/PPP2PPP/R3K2R w KQ -,e1a1 d7d6 h2h4 h7h5 c3d5 c8g4 f3e4 e7e5 d5f6 d8f6
r3kb1r/5ppp/2pp4/pp6/P3n2q/1B1N1n2/1PPPN2P/R1BQ1K1R w kq -,e2f4 f3h2 h1h2 h4h2 d1e1 d6d5 d3f2 f8e7 f2e4 h2h1
r4rk1/ppp1bppp/1nnqb3/4p3/8/2NPBNP1/PP1QPPBP/R4RK1 w - -,c3e4 d6d8 e4c5 e6c8 a1c1 b6d5 d3d4 d5e3 f2e3 a7a5
2k3rr/1p2q3/p1p1p3/5p2/3P4/4P1PN/PPQ3P1/2R3K1 w - -,h3f4 g8g3 c2c3 e7h4 c1f1 g3g8 c3c5 c8b8 c5e5 b8a8
r1b2Qnk/p3p2q/1ppp2R1/4Pp1P/3P4/2NB4/PPP2P2/2K4R w - -,h3f4 g8g3 c2c3 e7h4 c1f1 g3g8 c3c5 c8b8 c5e5 b8a8
5rk1/5pp1/4n2p/5N1P/4q3/pP6/P2Q1PP1/1K1R4 w - -,d2d3 e4g2 f5e7 g8h8 d3f5 g2h2 e7c6 e6g5 d1c1 h2h5
2rq1r2/pp2pp1p/1n1p1kbQ/8/1n1P4/2N2N2/PPP2PP1/2KR1B1R w - -,f3g5 d6d5 g5h7 f6e6 h6h3 f7f5 d1e1 e6d7 f1b5 b4c6
8/8/5p2/5P2/4b1pN/1K4P1/5k2/8 w - -,h4g6 f2g3 g6e7 g3f3 e7g6 g4g3 b3c3 g3g2 c3b4 f3e3
r4rk1/p1pp2p1/bpn4p/8/2RPP3/qNQK1P2/P7/6R1 w - -,d3c2 a3a2 c2c1 a2f2 g1d1 f8f3 c4c6 d7c6 c3d2 f2g3
r4r2/p1p2pkp/1pq2Np1/2n5/7Q/6P1/P3PP1P/R4RK1 w - -,f6g8 g7g8 f1c1 f8e8 c1c3 c6e4 h4e4 e8e4 c3c5 b6c5
8/6p1/1k5p/1P6/8/2r3KP/3p2P1/1R6 w - -,f6g8 g7g8 f1c1 f8e8 c1c3 c6e4 h4e4 e8e4 c3c5 b6c5
2r3qk/4b3/p3p1Q1/1p1pRr2/3P4/2P4P/PP3PP1/4R1K1 w - -,g6h6 g8h7 h6e6 f5f8 e6e7 h7e7 e5e7 b5b4 e7e3 a6a5
rnb1qrk1/p1p3b1/1p1p1n1p/3Ppp2/2P4B/2N4P/PP1NBPP1/R2QK2R w KQ -,g2g4 b8a6 d1c2 a6b4 c2b3 a7a5 a2a3 b4a6 e1a1 f6d7
5rk1/5pp1/4n2p/5N1P/8/pP6/P1Q2Pq1/1K1R4 w - -,f5e7 g8h8 c2f5 g2h2 e7c6 e6g5 d1c1 h2h5 f2f4 h5f3
3q4/5Qbk/1rn3pp/2pp4/4p3/P2rNB1P/1P3PP1/R3R1K1 w - -,f3e2 d3d2 a1d1 b6b2 d1d2 b2d2 e3f1 d2b2 f1e3 c5c4
5R2/8/8/8/8/4K1k1/8/6q1 w - -,e3e4 g1b6 e4d5 g3g4 f8g8 g4f5 g8f8 f5g6 f8c8 b6b7
1r2b1k1/2p1q1bn/1pnp4/p3p1P1/4P2P/2PP2Q1/PP4B1/R1B2RK1 w - -,g5g6 h7f6 c1g5 c6d8 g3f3 d8e6 g5f6 g7f6 f3f6 e7f6
r3k2r/2Qn2pn/4p2p/1p1p3P/2pP2p1/2q1P1K1/P4P2/R3NR2 w kq -,c7c6 e8h8 c6d7 c3a1 d7e6 g8h8 e6g4 h7f6 g4g6 a1d1
3q1bQ1/p2k2n1/2p1nP2/1p1p3p/3P3P/2P5/PP1N1B2/2K3R1 w - -,g1g7 e6g7 g8f7 d7c8 f6g7 f8g7 f7g7 d8d7 g7g8 d7d8
r1b1r1k1/pp3ppp/3qpn2/2p5/2PP4/5NP1/PPQ2PBP/R2R2K1 w - -,c2e2 c5d4 f3d4 d6c5 d4b5 a8b8 a2a3 a7a5 b5d6 e8f8
r2q1rk1/p7/4b2p/3p1pp1/2P1np2/3Q4/PPnN2PP/R1B2RK1 w - -,d3c2 d8b6 c4c5 e4c5 g1h1 a8c8 c2d1 c5e4 d2f3 e4f2
r1bq1rk1/3nppbp/p2p1np1/1PpP2B1/4PP2/5N2/PPQ3PP/RN2KB1R w KQ -,b1c3 d8a5 f3d2 a6b5 f1b5 f6g4 e4e5 f7f6 d2c4 a5d8
4r1k1/pp1R1p1p/2p2p1B/8/2n5/2P3PB/P4P1P/6K1 w - -,d7b7 f6f5 b7b1 c4d6 b1c1 f7f6 h3f1 e8e4 f1d3 e4e8
r2qkbnr/1p3pp1/p1n1p1p1/3p4/3P1BP1/2N4P/PPP2P2/R2QKB1R w KQkq -,f1g2 f8d6 f4d6 d8d6 d1d2 b7b5 c3e2 g8f6 c2c3 a8c8
r3r3/pppn1ppk/8/q2bP3/5P2/4B2P/PP2Q1P1/1K1R3R w - -,e2d3 h7g8 d3d5 a5d5 d1d5 d7f8 h1c1 c7c6 d5d3 f8g6
r4rk1/pppqbppp/1nn1b3/4p3/4N3/3PBNP1/PP1QPPBP/R4RK1 w - -,b2b4 a7a6 a2a4 f7f6 e3c5 a6a5 b4b5 c6b4 f1c1 f8e8
5rk1/5pp1/4n2p/7P/8/pP2Nq2/P1Q2P2/1K1R4 w - -,d1d5 e6f4 d5c5 f4h5 c5a5 h5f4 a5a3 f4e2 a3a4 f3f2
r7/ppp5/1b1p1k2/3PpN1p/4P1p1/2P3P1/PP2R3/7K w - -,e2e1 f6g5 a2a4 a7a5 e1f1 a8f8 b2b4 c7c6 d5c6 b7c6
8/8/4kp2/p6p/4K2P/4P3/P7/8 w - -,
r2q1r2/bpp2pk1/p1np3p/4p2n/1PB1P1bP/2PP1N2/P4PPB/R2Q1RK1 w - -,g1h1 d8f6 a2a4 c6e7 d3d4 h5f4 f1e1 e7g6 h2f4 g6f4
4r3/2P3pp/k4p2/3N4/P4P2/2P5/6PP/6K1 w - -,d5e7 a6a5 c7c8q e8c8 e7c8 a5a4 g1f2 a4b5 c8d6 b5c6
rnbq1bnr/p2k1Bpp/2p5/1p6/5B2/2p2N2/PPP1Q1PP/R3K2R w KQ -,g2g4 a6b7 g1f2 e8e6 f2f3 e6e1 a4a5 e1e6 h2h3 e6d6
8/6p1/1k5p/1P6/8/7P/3p1KP1/1Rr5 w - -,g2g4 a6b7 g1f2 e8e6 f2f3 e6e1 a4a5 e1e6 h2h3 e6d6
r4Qnk/pb2p2q/1ppp2R1/4Pp1P/3P4/2NB4/PPP2P2/2K3R1 w - -,g2g4 a6b7 g1f2 e8e6 f2f3 e6e1 a4a5 e1e6 h2h3 e6d6
rnb1kb1r/1pqppp1p/5np1/p1P5/1PP5/2N5/P3PPPP/R1BQKBNR w KQkq -,b4b5 d7d6 c5d6 c7c4 c1d2 b8d7 a1c1 f8g7 d6e7 c4c5
5rk1/5pp1/4n2p/5Q1P/8/pP2N3/P3qP2/1K1R4 w - -,f5c2 e2h5 d1d2 h5f3 c2d1 f3e4 d1c2 e4b7 c2f5 b7b4
7r/b3qkp1/P1p1p3/2PrP1p1/2QP1pP1/B6P/K4P1R/1R6 w - -,f2f3 d5d7 h2b2 h8c8 c4a4 c8c7 b2b6 e7d8 b1b4 d8a8
r2q1rk1/1pp2ppp/1bnp1n2/p7/2PP2b1/P1N3P1/1P2NPBP/R1BQ1RK1 w - -,h2h3 g4e2 c3e2 f8e8 c1e3 d8d7 a1b1 a8d8 b2b4 a5b4
r1b1kb1r/pp2pppp/2np4/8/3qP1n1/2N2P2/PPP3PP/R1BQKB1R w KQkq -,d1d4 c6d4 c3b5 d4c2 e1d2 c2a1 b5c7 e8d8 c7a8 g7g6
r1b1kb1r/1p1npppp/p2p4/2qn2B1/3NP3/2N5/PPP2PPP/R2Q1RK1 w kq -,c3b1 d5f6 g5e3 c5c7 c2c4 f6e4 f2f3 e4f6 b1c3 e7e5
2kr1br1/1p1b1p2/p2ppn1p/q3n1p1/3NP2P/1BN3B1/PPPQ1PP1/1K1R3R w - -,f2f3 c8b8 a2a3 d8c8 h4g5 h6g5 g3f2 f8e7 h1h6 b8a8
5rk1/5pp1/4n2p/7q/8/pP2N3/P1Q2P2/1K1R4 w - -,d1d2 f8e8 c2e4 h5g5 e4g4 g5g4 e3g4 e6g5 b1c2 h6h5
r1bqkb1r/pp2ppp1/2np1n1p/8/3NPB2/2N5/PPP2PPP/R2QKB1R w KQkq -,d4c6 b7c6 e4e5 c8g4 d1d4 d6e5 f4e5 d8d4 e5d4 f6d7
7k/1p3r2/2p1n1q1/r2pP3/P2PPpp1/1P4Pp/2R4P/4QR1K w - -,g3f4 g6e4 e1e4 d5e4 c2e2 a5d5 f4f5 e6d4 e2e4 f7f5
8/3R3p/p5pk/1p6/3R4/1P2p2P/1P3q1K/8 w - -,g3f4 g6e4 e1e4 d5e4 c2e2 a5d5 f4f5 e6d4 e2e4 f7f5
r1bq3r/pp2pk1p/5bp1/3p4/2nN4/2N1BQ2/PPP2PPP/R3K2R w KQ -,e1a1 e7e6 h2h4 h7h5 e3g5 f7g7 f3g3 f6g5 h4g5 d8d6
2r5/2P3pp/5p2/1k1p4/1N3P2/2P5/P5PP/6K1 w - -,g2g4 b5c4 b4c2 c8c7 c2e3 c4c5 e3f5 c7a7 h2h4 g7g6
8/8/5Rp1/1p1K2k1/1P6/r1P5/6P1/8 w - -,f6c6 g5f4 g2g3 f4f5 c6c5 f5g4 d5c6 g4g3 c6b5 g3f3
R7/3n1ppk/1p2p2p/8/3qP1PP/2r2NQ1/5PK1/8 w - -,f3d4 c3g3 f2g3 d7e5 g4g5 h7g6 g5h6 g7h6 d4f3 e5c4
3q1bQ1/p2k2n1/2p2P2/1p1p3p/3P3P/2P5/PP1N1B2/2K5 w - -,g8f7 d7c8 f6g7 f8g7 f7g7 d8d7 g7g8 d7d8 g8d8 c8d8
3k4/7p/3pBnp1/3P4/3K1P1P/8/8/8 w - -,e6f7 d8e7 f7e6 h7h6 d4e3 f6h5 e6g4 h5g3 e3f3 g3f5
rnbq1bnr/p4Bpp/2p2k2/1p6/5B2/2p2N2/PPP1Q1PP/R3K2R w KQ -,f7e8 d8d5 f4g5 d5g5 f3g5 g8h6 e1h1 c8f5 h2h4 g7g6
r2q1rk1/p7/4b2p/5pp1/2pnnp2/3Q4/PPBN2PP/R1B2RK1 w - -,d3h3 d8b6 g1h1 d4c2 d2e4 f5e4 h3h6 e6f7 h6g5 b6g6
1q2rk2/p3p1bp/3pQnp1/2pP4/1rR1p3/1P4P1/PB3PBP/1R4K1 w - -,g2f1 b4b6 b2c3 b8b7 b1d1 b7c8 c3f6 e7f6 e6c8 e8c8
r4rk1/pppqbppp/1nn1b3/4p3/8/2NPBNP1/PP1QPPBP/R4RK1 w - -,c3e4 f8d8 f1c1 a7a5 e3c5 h7h6 c5e7 d7e7 b2b3 b6d5
4Q3/1p2P1p1/kPp2p1p/2P5/8/1q1KR3/8/8 w - -,
rnbq1rk1/1p1p1pbp/p4pp1/2p5/2B1P3/1P6/PBPP1PPP/R2QK1NR w KQ -,g1e2 f8e8 d2d3 b8c6 e1h1 c6e7 c4d5 e7d5 e4d5 d7d6
8/1p6/8/k3K1p1/4P3/5P2/8/8 w - -,e5f6 b7b5 e4e5 b5b4 e5e6 b4b3 e6e7 a5b4 e7e8q b4c3
5r1k/4r2p/4P1p1/p2p1P2/Pb1n2P1/2p2R2/1BB3R1/7K w - -,f3d3 c3b2 d3d4 f8c8 d4d1 e7c7 c2b3 b4a3 b3a2 c7c1
8/8/3B4/k7/8/2K5/8/5N2 w - -,c3c4 a5b6 c4d5 b6a6 d5c5 a6b7 d6g3 b7a8 c5c6 a8a7
6k1/5p1p/6p1/8/1R1P4/8/5PP1/r5K1 w - -,b4b1 a1b1 g1h2 g8g7 d4d5 g7f6 h2g3 f6f5 g3f3 h7h5
r3rbk1/1bq2ppp/p4n2/1p1p4/4P1PP/PBN1QP2/1PP5/2KR3R w - -,g4g5 f8c5 e3e1 f6h5 c3d5 b7d5 b3d5 a8d8 c1b1 h5f4
r1b1kb1r/ppqp1ppp/2p2n2/4p3/2B1P3/2N3Q1/PPPP1PPP/R1B1K2R w KQkq -,c4b3 f6h5 g3f3 h5f6 d2d3 a7a5 g2g4 h7h6 h1g1 b7b5
r7/1pp5/1b1p4/p2PpNkp/4P1p1/2P3P1/PP4K1/4R3 w - -,a2a4 b6a7 e1a1 a7c5 f5g7 g5g6 g7e6 c7c6 d5c6 b7c6
3rr1k1/ppp2ppp/2n5/8/3Pn3/2P2N1P/Pq2BPP1/2RQK2R w - -,c1c2 b2a3 d1d3 c6a5 f3d2 e4d2 c2d2 c7c5 e1f1 a5c6
1r2qrk1/2Bb1ppp/4pn2/np1p4/3P4/3BPN2/P1QN1PPP/R4RK1 w - -,c7a5 b5b4 f3e5 d7a4 c2b1 e8e7 f1c1 f8c8 c1c8 b8c8
8/8/2R3p1/1p1K4/1P5k/r1P5/6P1/8 w - -,c6c5 a3a2 c5b5 g6g5 d5c6 g5g4 c3c4 a2g2 b5b8 g4g3
r1b1qrk1/p1p3b1/np1p1n1p/3Ppp2/2P3PB/2N4P/PP1NBP2/R2QK2R w KQ -,h1f1 e5e4 g4g5 h6g5 h4g5 e8g6 f2f4 c8d7 d2b3 g8f7
8/3R3p/p5pk/1p6/3R4/1P5P/1P2pq2/7K w - -,h1f1 e5e4 g4g5 h6g5 h4g5 e8g6 f2f4 c8d7 d2b3 g8f7
6k1/5p1p/6p1/8/1R1P4/8/5PPK/3r4 w - -,
2r3k1/5pp1/7p/5q2/2Nn4/pP6/P2Q1P2/1K2R3 w - -,b1c1 d4f3 d2c2 f5c2 c1c2 f3e1 c2d2 e1f3 d2e3 f3g5
2Q1R3/5pkp/pp1q1p2/2pP3r/P1P5/8/1P3P2/1K6 w - -,f2f4 g7h6 e8g8 h5h4 g8g1 f6f5 c8h8 d6g6 g1g6 f7g6
r2qkb1r/1ppb1pp1/p1n1p2p/3pN3/3P1P2/2PB4/PP1N1PPP/R2QK2R w KQkq -,e5d7 d8d7 d2f3 f8d6 g2g3 c6e7 e1h1 g7g6 f3e5 d7d8
6R1/p3b3/r7/p1p2k1p/3pNP1P/1P1P2P1/6K1/8 w - -,g8c8 f5g6 c8c7 e7d6 c7d7 d6b8 e4c5 a6d6 g2f3 d6d7
4r1k1/pR3p1p/5p1B/2p5/2n5/2P3PB/P4P1P/6K1 w - -,h3g4 c4e5 g4h5 e5g6 b7a7 f6f5 a2a4 f5f4 g3f4 g8h8
2kq1b2/p4Qn1/2p2P2/1p1p3p/3P3P/2P5/PP1N1B2/2K5 w - -,f6g7 f8g7 f7g7 d8d7 g7f8 d7d8 f8d8 c8d8 d2b3 d8e7
8/8/5p2/5P2/2K1b1pN/6k1/8/8 w - -,c4d4 g3h4 d4e4 h4g5 e4e3 g5f5 e3d3 f5f4 d3e2 f4e4
2r3k1/5pp1/7p/5q2/2N5/pP3n2/P2Q1P2/2K1R3 w - -,d2c2 f5c2 c1c2 f3e1 c2d2 c8e8 b3b4 h6h5 c4e3 e1f3
r7/1bp2k1p/p3pp2/1p5N/1PnrPP2/8/2B3PP/R1B2RK1 w - -,f4f5 e6e5 f1f3 a8g8 h5g3 c7c5 b4c5 a6a5 c2b3 g8a8
r2qk1nr/pp3pp1/2nbp1p1/3p4/3P1BP1/2N4P/PPP2P2/R2QKB1R w KQkq -,f4e3 g8f6 f1g2 d8b6 c3a4 b6a6 a4c5 d6c5 d4c5 a6b5
