2r5/1p4k1/4qpp1/pB2p2p/PnP1P3/4RNPb/3Q1P1P/6K1 b - -,e6e7 d2c1 c8d8 c4c5 d8c8 c5c6 e7d6 f3d2 b4c6 e3c3
8/8/PK6/7k/1R5P/5p2/8/5r2 b - -,
Q7/8/8/8/8/2p3k1/5p2/5K2 b - -,f1a1 b4f4 a1b1 b6c5 b1c1 c5b5 c1b1
8/8/8/8/k7/bq3B2/2Q2PPP/R5K1 b - -,b3c2 f3d1 c2d1 a1d1 a3e7 g2g3 a4b3 h2h4 e7f6 g1g2
8/PK6/6k1/8/5R2/5p1P/8/r7 b - -,f3f2 a7a8q a1a8 b7a8 f2f1q f4f1 g6h5 a8a7 h5g6 f1g1
8/5k2/3K4/5Pp1/6P1/8/1b6/8 b - -,f7f6 d6d5 f6e7 d5c5 e7d7 c5d5 b2a3 d5e5 a3c1 e5d5
2r5/1p1nkppp/p3pn2/8/2r5/P1N3PP/1PP2P2/1R1RBK2 b - -,c4c7 d1d4 d7e5 a3a4 e5f3 d4f4 f3e1 b1e1 c7c5 f4b4
r2qkb1r/1ppbnppp/p1n1p3/3p4/B2P1P2/4PN2/PPP3PP/RNBQ1RK1 b kq -,b7b5 a4b3 c6a5 c1d2 c7c5 d2a5 d8a5 c2c3 e7f5 f1e1
2r3k1/pp3ppp/5b2/2B5/1P2b2P/1B6/P1P2PP1/2K1R3 b - -,b7b6 e1e4 b6c5 b4c5 g8f8 e4c4 f6e7 c5c6 g7g6 c1d1
r1br1nk1/ppp2p1p/3q4/2p3p1/2P1Pp2/3P1N1P/PBPQ2P1/R4RK1 b - -,h7h6 h3h4 f7f6 e4e5 f6e5 a1e1 d8e8 e1e5 e8e5 b2e5
8/7k/8/P1K5/7P/5p2/3R4/1r6 b - -,
8/8/8/8/k7/b7/2q2PPP/R2B2K1 b - -,c2d1 a1d1 a3c5 g2g3 a4b3 g1g2 b3c2 d1d5 c5f8 d5d7
8/PK6/2B5/2q5/1k2P3/8/8/8 b - -,
8/3R3k/8/1K3p2/P7/7P/8/r7 b - -,h7h8 d7d4 a1e1 a4a5 e1e5 b5b4 e5e6 d4c4 h8g7 b4b5
8/1p4k1/1p1p2qp/4p3/3b2pP/2nP2B1/r4PPK/2QN1R2 b - -,g6d3 d1c3 d3c3 c1d1 h6h5 d1b1 a2a1 b1b5 a1f1 b5f1
8/3k4/4r3/8/8/3K3Q/8/8 b - -,d7e7 d3d4 e6g6 h3h4 e7e6 h4e4 e6f6 e4e5 f6f7 e5f5
1r1r2k1/1p1b1ppp/6n1/6q1/1QBNp3/4P3/PP3PPP/R1R3K1 b - -,g6h4 g2g3 h4g6 c4e2 g6e5 c1c7 b7b6 b4b3 h7h5 h2h4
r1bqk2r/1p2bppp/p2p4/2nQp1P1/4P3/2N1B2P/PPP2P2/R3KB1R b KQkq -,
r3r1k1/pp1nqpp1/2pn2p1/3p4/1Q1P2P1/P2NP2P/1PR2PB1/5RK1 b - -,a7a5 b4b3 g6g5 a3a4 d7f8 d3e5 e7d8 f1e1 d8f6 c2c5
8/6k1/8/PK3p2/3R4/7P/8/r7 b - -,a1a3 a5a6 a3h3 a6a7 h3h8 b5a6 g7f6 d4b4 h8a8 b4b8
r2qkb1r/p2n1ppp/1pp1pn2/2Pp4/1P1P2b1/P3PN2/1B3PPP/RN1QKB1R b KQkq -,f8e7 b1d2 e8h8 f1e2 g4f5 e1h1 a7a5 b2c3 f6e4 d2e4
3kr3/3q3p/8/1p6/1bp5/2Nn1B2/1PK2P1P/Q5R1 b - -,b4c3 c2c3 b5b4 c3c2 d7d4 a1a8 d8e7 a8e4 d4e4 f3e4
r1bq1Bk1/ppp1bp2/2np1n2/4p3/2B1P3/2NP4/PPP2PPP/R2QK2R b KQ -,d8f8 a2a3 c6d4 c3e2 d4e2 d1e2 f8h6 c4a2 c7c6 h2h3
2N5/8/5k2/8/8/7B/4K3/8 b - -,f6e5 e2d3 e5f4 c8e7 f4f3 h3d7 f3f2 d7e8 f2f3 d3d4
8/3kP3/5p1P/2K2Nn1/1P4P1/8/8/8 b - -,f6e5 e2d3 e5f4 c8e7 f4f3 h3d7 f3f2 d7e8 f2f3 d3d4
8/7R/2prk1p1/P4p2/3P4/7P/8/6K1 b - -,d6d4 h7g7 e6f6 g7c7 d4c4 a5a6 c6c5 a6a7 c4a4 h3h4
r1bq1rk1/ppp1n2p/3b1pp1/3p4/1n3P2/1PNBP3/PBP1NQPP/R3K2R b KQ -,b4d3 c2d3 b7b6 e3e4 c8b7 e1a1 d8d7 h2h4 a8e8 c1b1
4k3/1p3p2/1P2r1pp/p2R4/P5P1/4P2P/5P2/5K2 b - -,e6b6 d5a5 e8f8 f1e2 b6b2 e2f3 b2a2 a5a7 f8g7 a4a5
r1bqk1nr/ppppbppp/2n5/1B2p3/4P3/5N2/PPPPKPPP/RNBQ3R b kq -,c6d4 f3d4 e5d4 e2f1 g8f6 e4e5 f6d5 d2d3 e8h8 b5c4
8/8/8/k7/8/b5P1/5P1P/3R2K1 b - -,a3f8 h2h4 a5b4 g1g2 b4c3 g2h3 f8g7 h4h5 c3c2 d1d8
r2qk2r/pppbbpp1/7n/3P2Bp/1np5/2N2NPP/PP3PB1/R2QR1K1 b kq -,f7f6 f3h4 h6f5 d5d6 c7d6 h4f5 d7f5 d1a4 e8f7 a4b4
K7/P7/8/8/4kp2/2R4P/8/1r6 b - -,
r2q2k1/1p3ppp/p2prn2/2p1P3/2N2b2/2NQ3P/PPP2PP1/3RR1K1 b - -,d8e8 c4d6 e8d7 d6b7 d7d3 c2d3 f6d7 d3d4 c5d4 d1d4
8/8/3R2k1/1K3p2/P7/7P/8/r7 b - -,
2r2rk1/pp1bnppp/3B4/3p4/3P4/2b1PN2/P3BPPP/2RK3R b - -,d7a4 c1c2 a4c2 d1c2 c3b4 c2d3 b4d6 h1b1 c8c7 d3d2
2r3k1/Bp3ppp/5b2/8/1P5P/1B6/P1P2Pb1/2K1R3 b - -,g2f3 e1e3 f3c6 e3h3 h7h5 a7b6 c6g2 h3h2 g2f1 a2a4
rnbq1rk1/ppp1ppbp/3p1Bp1/8/4P3/3P1N2/PPP1BPPP/RN1QK2R b KQ -,g7f6 c2c3 c7c5 h2h4 b8c6 h4h5 g6g5 e1h1 a8b8 b1a3
8/8/3kr3/8/8/7Q/3K4/8 b - -,d6e5 h3h5 e5f4 h5f7 f4e5 d2e3 e6d6 f7c4 d6d5 c4c6
3kr3/3q3p/8/1p6/2p5/2Pn1B2/2K2P1P/Q5R1 b - -,d3e1 c2c1 e1f3 a1a8 d8c7 a8f3 c7b6 f3f4 e8d8 f4e3
r3kb1r/pppq1ppp/3pbn2/8/8/2PBBN1P/PPPQ1PP1/2KR3R b kq -,d7a4 a2a3 e8a8 f3g5 h7h6 g5e6 f7e6 f2f4 f8e7 d2e2
5k2/6p1/7p/p2p1R1P/Pp6/1Pnr1BP1/8/4K3 b - -,f8e7 g3g4 e7e6 e1f2 c3a2 f5f8 a2c1 f8g8 e6f6 g8a8
1n3rk1/pb1q1ppp/1p2p3/1P1pP3/3P4/P2BBP2/3Q2PP/2R3K1 b - -,f8c8 e3g5 c8c1 d2c1 d7c8 c1c8 b7c8 g5e7 b8d7 g1f2
2r3k1/p4pb1/6pp/3b4/5B2/1P2PN1P/P4PP1/3R2K1 b - -,d5b7 d1d7 c8c1 g1h2 b7f3 g2f3 c1c2 d7a7 c2f2 h2g3
2rq1rk1/5ppp/p1n1p3/1pPp4/2nP1B2/P3P3/4QPPP/RNR3K1 b - -,d8f6 f4g3 e6e5 b1c3 e5d4 c3d5 f6d8 e2h5 d4d3 c1d1
2b1r1k1/q3pp1p/5QpB/p1rP4/1p2RPP1/1P1n1B1P/P7/R6K b - -,f7f6 e2d3 e6e5 f4g3 e5d4 e3d4 f6f5 f2f4 f8e8 b1c3
8/7R/P1p1k1p1/5p2/3r4/7P/8/6K1 b - -,d4a4 a6a7 g6g5 h7c7 e6d5 g1f2 c6c5 c7d7 d5e4 d7c7
8/8/P4k2/1K3p2/3R4/7P/8/r7 b - -,a1a3 h3h4 a3e3 a6a7 e3e5 b5c6 e5a5 c6b6 a5a1 d4b4
8/3kP3/1K2np1P/5N2/1P4P1/8/8/8 b - -,f6g5 d4a4 a1b1 b5a5 b1b8 a6a7 b8a8 a5b6 g5h5 b6b7
8/P3q3/K1B5/8/1k2P3/8/8/8 b - -,
r5k1/1p2qppp/p2prn2/2pNP3/2N2b2/3Q3P/PPP2PP1/3RR1K1 b - -,e7e8 d5f4 e6e5 c4e5 d6e5 f4d5 f6d5 d3d5 e8b8 e1e5
r1br1nk1/ppp2p2/3q3p/2p3p1/2P1Pp1P/3P1N2/PBPQ2P1/R4RK1 b - -,f7f6 e4e5 f6e5 a1e1 d8e8 e1e5 e8e5 b2e5 d6e7 f1e1
2k2r2/1p6/p1p1Rb2/P4p2/3r1p1p/2P2B1P/1P3PP1/R1K5 b - -,d4d3 c1c2 d3d8 a1a4 c8d7 e6e2 f6g5 a4d4 d7c7 d4d8
8/8/8/1K3pk1/P2R4/7P/8/r7 b - -,
5rk1/R7/6K1/6B1/8/8/8/8 b - -,f8f1 a7c7 f1f3 g5h4 f3f1 h4f6 f1g1 f6g5 g1f1 c7a7
rn1qk2r/pbpp1pbp/1p2pnp1/3P4/2P1P3/3B1N2/PP3PPP/RNBQK2R b KQkq -,d7d6 e1h1 e6d5 c4d5 c7c6 d5c6 b8c6 b1c3 e8h8 c1g5
r3qrk1/pp2p2p/2p2bp1/8/3PB1b1/2P2NP1/PP1QP2P/R3R1K1 b - -,e8d7 d2h6 f6g7 h6e3 d7e6 e3d3 a8d8 a2a4 e6d6 d3e3
2kr1b1r/Bppq1ppp/3pbn2/8/8/2PB1N1P/PPPQ1PP1/2KR3R b - -,d6d5 c1b1 f8d6 h1e1 f6e4 d2e3 h8e8 f3d4 d7a4 d3e4
2k1rb1r/ppp2ppp/n4p2/2qP4/8/P1NQ4/1PP1NPPP/R3K2R b KQ -,c5b6 b2b4 a6b8 e1h1 b8d7 a1d1 d7e5 d3h3 c8b8 e2d4
8/3kP3/1K3p1P/1P3Nn1/6P1/8/8/8 b - -,c5b6 b2b4 a6b8 e1h1 b8d7 a1d1 d7e5 d3h3 c8b8 e2d4
8/4k3/2K5/5Pp1/5bP1/8/8/8 b - -,
1r1r2k1/1p3ppp/6n1/6q1/1QBNp3/4P1Pb/PP3P1P/R1R3K1 b - -,h7h6 c4e2 g5f6 b4b3 g6f4 e3f4 d8d4 c1d1 b8e8 a1c1
6k1/p4pb1/7p/6p1/8/PP2PPBP/2r2P2/3R2K1 b - -,c2c8 g1g2 c8c3 d1d8 g8h7 d8b8 h7g6 b8b7 a7a5 a3a4
8/8/P7/1K2kp2/R7/7P/8/r7 b - -,a1e1 a6a7 e5d6 a7a8q e1b1 b5a5 d6e7 a8d5 e7f6 d5d6
1r6/5pk1/n4rp1/7p/p2N3P/R3P1P1/1PR1KP2/8 b - -,a6b4 c2d2 b4a6 a3c3 f6b6 d4c6 b8b7 c6a5 b7b8 c3c6
K7/P1R5/8/8/4k3/5p1P/8/1r6 b - -,
8/P6R/2p1k1p1/5p2/r7/7P/8/6K1 b - -,g6g5 h7c7 e6d5 g1f2 a4a2 f2g3 c6c5 c7d7 d5e5 d7e7
r2q1rk1/2ppB1p1/1p2p2p/p2n4/2Pn4/P1NB1P2/1P3P1P/R2QK2R b KQ -,d5e7 d3h7 g8h7 d1d4 e7f5 d4d3 d8h4 e1a1 f8f7 c3e4
8/8/P7/K3kp2/R7/7P/8/1r6 b - -,b1d1 a6a7 d1d8 a5b6 d8a8 b6b7 a8a7 a4a7 e5f4 a7a3
r1b1k2r/1pnq1pp1/p1n1p2p/8/3P4/1Q5P/P5PN/4RRK1 b kq -,d7d4 g1h1 d4d6 h2g4 e8h8 g4e3 b7b5 e1c1 c6e7 f1d1
r5k1/5qpp/p7/1p6/8/3Q4/1P3PPP/R5K1 b - -,
3r2k1/1p2qppp/p2pr3/2pQP3/2N2b2/6PP/PPP2P2/3RR1K1 b - -,e7g5 h3h4 g5g6 d5f3 f4g3 f2g3 d6d5 c4d6 d8d7 d6f5
2r2rk1/pp2nppp/3B4/3p4/b2P4/2b1PN2/P1R1BPPP/3K3R b - -,a4c2 d1c2 c3b4 c2d3 b4d6 h1b1 c8c7 e2d1 f8b8 a2a4
8/7k/8/r7/7P/5K2/3R4/8 b - -,
2r3r1/p3npqk/1p2p2p/3b1p2/3P3N/P6R/1P1Q1PPP/R4BK1 b - -,g7g4 g2g3 g4g5 d2g5 g8g5 h4g2 c8c2 g2f4 g5g8 a1e1
8/p5N1/3q4/5p2/7p/7k/5K2/6R1 b - -,d6d4 f2f1 d4c4 f1f2 c4c5 f2e2 c5g1 g7f5 g1g4 e2d3
3kr3/3q3p/8/1p6/2p5/2P2B2/2K2P1P/Q3R3 b - -,d7d3 c2b2 d3d2 b2a3 e8e1 a1e1 d2e1 a3b4 e1f2 f3e4
1nR3k1/pb1q1ppp/1p2p3/1P1pP3/3P4/P2BBP2/3Q2PP/6K1 b - -,d7c8 h2h4 h7h5 d2b4 c8c7 e3g5 b8d7 b4e7 c7c3 e7d7
8/8/8/8/4k2P/1K6/8/8 b - -,
r1br1nk1/ppp2p2/3q3p/2p1N3/2P1PppP/3P4/PBPQ2P1/R4RK1 b - -,f4f3 g2f3 d8e8 e5g4 c8g4 d2g2 f8e6 f3g4 e6d4 f1f2
5r1k/2pb2p1/p3pr1p/1p1p4/3P1Pq1/2PBP3/PPQ2RP1/R5K1 b - -,g7g5 c2e2 g4e2 d3e2 d7e8 g2g3 f8g8 f2g2 a6a5 e2d3
1r6/5pk1/5rp1/7p/pn1N3P/R3P1P1/1P1RKP2/8 b - -,b4a6 a3c3 f6b6 d4c6 b8b7 c6a5 b7b8 c3c6 b6c6 a5c6
8/8/8/3R4/3Pk3/1KP5/3Nb3/5r2 b - -,
8/8/8/8/3k3P/8/2K5/8 b - -,
8/7k/P7/1K6/7R/5p1P/8/5r2 b - -,h7g7 h4b4 g7g6 b5b6 f1a1 b4f4 a1b1 b6c6 b1f1 a6a7
r1bqk1nr/ppppbppp/2n5/1B2p3/4P3/5N2/PPPPQPPP/RNB1K2R b KQkq -,f7f5 b5c6 d7c6 b1c3 g8f6 f3e5 f5e4 c3e4 e8h8 d2d3
3kr3/7p/8/1p6/2p5/2Pq1B2/1K3P1P/Q3R3 b - -,d3d2 b2a3 e8e1 a1e1 d2e1 a3b4 e1f2 f3d5 f2b2 b4c5
3r4/1p4qk/7p/Q4bp1/3rpp2/P7/1P2BPPP/2R2RK1 b - -,h7g6 h2h3 g7f6 f1d1 f5e6 d1d4 d8d4 c1d1 d4d1 e2d1
5k2/5p2/1n1Pp1p1/1R2P3/5PP1/3K4/r2B1b2/8 b - -,f8e8 b5b1 b6d7 d2b4 f2g3 b1f1 d7b6 b4c5 b6d5 f1b1
8/7k/8/3R4/7P/5K2/8/r7 b - -,
rn1qkb1r/pbpp1p1p/1p3np1/3P4/8/3BPN2/PP3PPP/RNBQK2R b KQkq -,f8b4 e1f1 b7d5 e3e4 d5e6 e4e5 f6d5 d3e4 c7c6 h2h4
1rb2rk1/2p1qpp1/p6p/4n3/P4Q2/4N1P1/4PPBP/2RR2K1 b - -,c7c6 e3c4 f7f6 c4e5 e7e5 f4e5 f6e5 c1c6 b8b2 g1f1
8/6pk/2b5/6PB/3p1B1P/3P2K1/2P5/6b1 b - -,c6d5 f4d2 d5c6 h5f3 c6a4 f3e4 h7h8 g3g2 g1e3 d2e3
1r1qr1k1/pp3p1p/1n3p2/3P4/6b1/1Q4P1/P2N1PBP/R4RK1 b - -,b8c8 f1e1 d8d7 h2h3 g4f5 d2f1 f5h3 g2h3 d7h3 b3f3
r2q1rk1/2ppb1p1/1p2p2p/p2P4/3n3B/P1NB1P2/1P3P1P/R2QK2R b KQ -,d4f3 e1e2 e7h4 d3e4 d8f6 e2d3 f3g5 d1g4 g5e4 c3e4
1nq3k1/pb3ppp/1p2p3/1P1pP3/3P4/P2BBP2/2Q3PP/6K1 b - -,c8c2 d3c2 a7a6 a3a4 b7c8 e3g5 a6b5 a4b5 c8d7 c2d3
r2qr1k1/pp1b2bp/3ppnp1/2p1P1N1/2Bn3Q/2NP4/PPP3PP/R1B2RK1 b - -,d4f5 f1f5 g6f5 e5f6 d8f6 h4h7 g8f8 c3e4 f5e4 c1e3
r1br1nk1/ppp5/3q1p1p/2p1N3/2P1PQpP/3P4/PBP3P1/R4RK1 b - -,f8h7 e5g4 d6f4 f1f4 c8g4 f4g4 g8f7 g4f4 b7b5 c4b5
1r3rk1/1p1b1pp1/6n1/6qp/1pBNp3/4P3/PP1Q1PPP/R1R4K b - -,f8d8 d2b4 g6e5 a2a4 h5h4 h2h3 b7b5 a4b5 d7b5 d4b5
r1b2rk1/p2p1ppp/4p2B/q1p1P3/1nP3Q1/8/P1P2PPP/R3KB1R b - -,b4c6 e1d1 g7g6 h6f8 g8f8 h2h4 h7h5 g4f4 a5c7 g2g4
3kr3/7p/8/1p6/2p5/K1P2B2/3q1P1P/Q3R3 b - -,e8e1 a1e1 d2e1 a3b4 e1f2 b4b5 f2f3 b5c4 f3e2 c4d4
6k1/6p1/1n1P3p/2p2p2/4p3/1P2P3/P4PPP/4NK2 b - -,g8f7 f2f3 f7e6 f1f2 e6d6 e1c2 d6c6 c2a3 c6d5 g2g4
8/3rkp2/PQ1p1r2/2p1q1p1/K1P3P1/2R4P/8/3R1B2 b - -,e5c3 b6b3 c3b3 a4b3 f6f3 b3c2 f3a3 d1d5 d7a7 d5g5
8/8/8/8/4k2P/8/5K2/8 b - -,
r4r2/1b3p1k/p7/1pnp2Q1/8/PP2P3/2PN2PP/5RK1 b - -,f7f6 f1f6 f8f6 g5f6 a6a5 d2f3 a8g8 f6e7 g8g7 e7c5
r2qkb1r/p1pb1ppp/8/1B1npnN1/Q6P/2P5/PP1P1PP1/RNB1K2R b KQkq -,d5b6 b5d7 b6d7 g5f3 f8d6 d2d3 e8h8 b1d2 d6e7 d2e4
8/7k/8/3R4/7P/6K1/8/1r6 b - -,
r3qb1r/pp2p1k1/5npp/3n4/8/1P4QP/P4PP1/RBB2RK1 b - -,e7e5 c1b2 f8d6 f1e1 a8d8 b2e5 d6e5 e1e5 e8f7 b1d3
rnbq1rk1/pp3ppp/2p1pn2/2b5/4P3/3B1N2/PPPN1PPP/R1BQ1RK1 b - -,e6e5 f3e5 b8d7 e5f3 f8e8 c2c3 a7a5 h2h3 d8c7 d3c2
4r1k1/1bq2ppp/3b4/3p4/1p1P4/2P1BQ1P/1P1N1PP1/R5K1 b - -,h7h6 c3b4 c7b6 f3d1 b6b4 d1b3 b4b3 d2b3 e8a8 a1a8
8/p2k2Q1/2b5/8/3K4/P7/1P4q1/8 b - -,h7h6 c3b4 c7b6 f3d1 b6b4 d1b3 b4b3 d2b3 e8a8 a1a8
8/8/8/1pp5/4bpk1/PP6/5K2/5N2 b - -,c5c4 b3c4 b5c4 f1d2 c4c3 d2b3 e4d3 b3c5 d3b5 f2e1
4rrk1/1p3pp1/p2q1n1p/2pPp3/8/4R1P1/PPPQ1PBP/4R1K1 b - -,e8e7 a2a4 b7b5 a4b5 a6b5 d2e2 b5b4 e3e5 e7e5 e2e5
r5k1/3q1pbp/3p1Pp1/p3p3/4P2P/Pp1PQP2/1Pr1N3/1K1R3R b - -,g7f6 h4h5 d7a7 e3a7 a8a7 e2c3 f6g5 a3a4 g5e3 c3b5
6k1/3R4/6K1/6B1/8/8/8/5r2 b - -,f1f3 d7g7 g8f8 g7c7 f8g8 g5h4 f3f1 h4f6 f1g1 g6f5
8/7k/8/PK6/8/5p1P/R7/5r2 b - -,h7h6 a5a6 f1b1 b5a5 b1c1 a6a7 f3f2 a2f2 c1a1 a5b6
r2q1rk1/2ppb1p1/1p2p2p/p2P4/7B/P1NB1n2/1P3P1P/R2Q1K1R b - -,e7h4 d3e4 f3g5 f2f3 c7c6 d5d6 d8f6 f1g2 g5e4 c3e4
6k1/p4pb1/7p/6p1/P7/1P2PPBP/2r2P2/3R2K1 b - -,g7f6 d1d7 a7a5 d7d5 c2c1 g1g2 f6c3 d5c5 c3d2 c5c1
r1bqkb1r/p2ppppp/2n2n2/2p1P3/8/2N2N2/P1PP1PPP/R1BQKB1R b KQkq -,f6g8 a1b1 e7e6 f1d3 a8b8 b1b8 c6b8 e1h1 b8c6 c3e4
r2q1rk1/pbp2ppp/1pn1pn2/3pN3/3P4/2PBP1P1/PPQ2PP1/RN2K2R b KQ -,g7g6 e5c6 b7c6 b1d2 g8g7 d2f3 f6g4 e1h1 c6b7 a1c1
8/8/8/3k4/2PP4/1K6/8/5b2 b - -,
4r1k1/1bq2ppp/3b4/3p4/3P4/2p1BQ1P/1P1N1PP1/2R3K1 b - -,e8a8 f3d1 c3c2 c1c2 a8a1 d1a1 c7c2 a1b1 c2b1 d2b1
r5k1/pbpnqpbp/1p2rnp1/4p3/2P5/4PN1P/PPQNBPPB/2RR2K1 b - -,a7a5 f3g5 e6d6 g5e4 f6e4 d2e4 d6d1 c1d1 f7f5 e4c3
6k1/4P1p1/3B4/3Q4/7p/1P2r2P/4r1PK/8 b - -,g8h7 d5h5 h7g8 h5e8 g8h7 b3b4 e3e4 b4b5 g7g6 e8f7
3r2k1/p7/1p3R2/5P2/6r1/3P4/PP3K1P/8 b - -,d8d3 h2h4 g4h4 f2e2 d3d7 e2f3 d7f7 f6c6 f7f5 f3e3
2r1r1k1/pp2Bppp/8/3p4/b2P4/2b1PN2/P1R1BPPP/3K3R b - -,e8e7 e2d3 c3a5 f3d2 a4c2 d3c2 e7c7 c2f5 c7c1 d1e2
1n4k1/pb3ppp/1p2p3/1P1pP3/3P4/P3BP2/2B3PP/6K1 b - -,a7a6 a3a4 a6b5 a4b5 b7c8 e3g5 c8d7 c2d3 d7e8 g5d8
r1br1n1k/ppp2Q2/3q1R1p/2p1p3/2P1P1pP/3P4/PBP3P1/R5K1 b - -,f8d7 f6d6 c7d6 f7g6 d8f8 g6h6 h8g8 h6g6 g8h8 g6d6
B1b2r1k/p5pp/1p6/2p2p2/8/P1P1P2P/1P3PP1/5RK1 b - -,c8a6 a8d5 a6f1 g1f1 g7g5 f1e2 h8g7 f2f4 g5f4 e3f4
3k4/7p/8/1p6/2p5/K1P2B2/1Q1q1P1P/4r3 b - -,c8a6 a8d5 a6f1 g1f1 g7g5 f1e2 h8g7 f2f4 g5f4 e3f4
2kr1b1r/ppp2ppp/3p4/3P4/3K4/P4N2/1P2B1PP/1R6 b - -,g7g6 f3g5 d8e8 e2g4 c8b8 g5f7 f8g7 d4d3 h8f8 f7g5
1r3rk1/1p1b1pp1/8/4n1qp/1pBNp3/4P3/PPRQ1PPP/R6K b - -,b7b5 c4f1 f8c8 h2h3 g5f6 a1c1 c8c2 c1c2 g7g5 h1g1
2b1r1k1/q3pp1p/6pB/p1rP4/1p2RPPQ/1P1n1B1P/P7/R6K b - -,c5c2 e4e2 c2e2 f3e2 a7e3 e2f1 c8b7 f1g2 f7f6 h1h2
8/7k/P7/1K3p2/3R4/7r/8/8 b - -,h3b3 d4b4 b3e3 a6a7 e3e8 b5a6 e8e6 a6a5 e6e5 b4b5
r1bq1rk1/ppp1bppp/2np4/1B6/5B2/2P2N2/PPP2PPP/R2Q1RK1 b - -,
r4q1k/pbQRr1p1/1p5p/1B6/P3p3/5P2/6PP/2R4K b - -,e7e6 c7b7 e4f3 d7g7 f3g2 g7g2 a8d8 c1f1 e6f6 f1g1
r2br3/pN2kpp1/1nN1b2p/3p4/3P4/6P1/PP3PBP/R3K2R b KQ -,e7f8 c6d8 e6g4 e1f1 e8e7 h2h3 g4f5 h3h4 a8c8 d8f7
r1bk1bnr/p1pp1B1p/2p5/8/4Pppq/3P4/PPP3PP/RNBQ1K1R b - -,f4f3 g2f3 f8c5 d3d4 c5e7 f3f4 d7d5 e4d5 h4h3 f1g1
6k1/6R1/6K1/6B1/8/5r2/8/8 b - -,g8f8 g7a7 f8g8 g5f6 f3g3 g6f5 g3g2 f6e5 g2c2 a7g7
2k3r1/1p1rb3/p1p1p3/P4b2/2R2p1p/1N3B1P/1PP2PP1/2K1R3 b - -,g8d8 c2c3 e7f6 b3c5 d7d2 c5e4 f5e4 c4e4 e6e5 e4e2
8/p1rb2k1/1pp2r1p/2P2pp1/P2P1P2/3BP1P1/1R3K2/1R6 b - -,d7e6 c5b6 a7b6 b2b6 c6c5 b6b7 f6f7 b7c7 f7c7 b1b6
4br1k/2p3p1/p3pr1p/1p1p4/3P1Pq1/2PBP3/PPQ2RP1/5RK1 b - -,
4r1k1/1bq2ppp/3b4/3p1Q2/3P4/4B2P/1PpN1PP1/2R3K1 b - -,b7c8 f5c2 c7c2 c1c2 c8d7 c2c3 e8b8 c3b3 b8b5 b3b5
8/P1R5/2p1k3/5pp1/r7/7P/8/6K1 b - -,e6d5 g1f2 c6c5 c7d7 d5e5 d7c7 e5f4 c7c5 a4a2 f2f1
r2q1rk1/2pp2p1/1p2P2p/p7/7b/P1NB1n2/1P3P1P/R2Q1K1R b - -,f3g5 d1e2 f8f2 e2f2 h4f2 f1f2 g5e6 a1f1 d8h4 f2e3
1n4k1/1b3ppp/pp2p3/1P1pP3/P2P4/4BP2/2B3PP/6K1 b - -,b7c8 c2d3 a6b5 a4b5 c8d7 e3g5 d7e8 g5d8 b8d7 f3f4
rn3rk1/pp3ppb/2pbp2p/7N/2BP1B2/6Pq/PPP2P2/R2QR1K1 b - -,d6e7 e1e5 h7f5 c4e2 g7g5 e5e3 g5g4 f2f3 h3h5 f3g4
r5k1/pbp1qpbp/1p2rnp1/2n1p3/1PP5/4PN1P/P1QNBPPB/2RR2K1 b - -,c5a6 a2a3 c7c5 b4b5 a6c7 a3a4 f6e8 d2e4 a7a5 e2f1
8/7k/P7/1K6/8/5p1P/R7/4r3 b - -,e1b1 b5c5 b1c1 c5d4 f3f2 a2f2 c1a1 f2f6 a1c1 f6b6
1k6/pp5B/6p1/1P6/4N2b/4np2/6rP/1R5K b - -,e3g4 b1f1 g2h2 h1g1 h2g2 g1h1 h4f2 f1f2 g4f2 e4f2
r2qkb1r/pppb1pp1/7n/3P3p/1np5/2N2NPP/PP3PB1/R1BQR1K1 b kq -,f8e7 c1g5 f7f6 d5d6 c7d6 f3h4 h6f5 h4f5 d7f5 d1a4
2k3r1/1p1r4/p1p1pb2/P1N2b2/2R2p1p/5B1P/1PP2PP1/2K1R3 b - -,d7d8 c5e6 d8e8 c4f4 e8e6 e1e6 f6g5 e6f6 g5f4 c1b1
2r1rbk1/1bqn1ppp/pp1p1n2/4p3/P2P4/2P1NN1P/1P3PPB/2RQRBK1 b - -,h7h6 b2b4 g7g6 d4e5 d6e5 f1c4 f6e4 c4d5 f8g7 d1b3
2r3r1/p3np1k/1p2p2p/3b1pq1/3P3N/P5PR/1P2QP1P/R4BK1 b - -,c8c1 a1c1 g5c1 e2e3 c1e3 f2e3 g8c8 f1d3 d5c4 d3c4
rnbr2k1/1p3pb1/p2p1npp/3Pp2q/4P3/2N2N1P/PPBB1PP1/R2QR1K1 b - -,g6g5 c3e2 a6a5 e2g3 h5g6 a1c1 c8d7 c2b1 g7f8 h3h4
3k4/7p/3q4/1p6/2p5/2P2B2/KQ3P1P/4r3 b - -,g6g5 c3e2 a6a5 e2g3 h5g6 a1c1 c8d7 c2b1 g7f8 h3h4
3r2k1/1p1qRp1p/p2P2pb/2pQ4/2N5/6PP/PPP2P2/5K2 b - -,g8h8 e7d7 d8d7 c4e5 d7d6 e5f7 h8g7 f7d6 c5c4 d5b7
