r4rk1/ppp2ppp/2n2qb1/8/2BP4/P4NNn/1P1Q1PPK/R4R2 b - -,h3f4 f1e1 a8d8 d4d5 f4d5 c4d5 c6e7 e1e7 f6e7 d2a5
rnbqk1nr/2p1p2p/3p4/5P2/3N4/P2P2P1/P1P2PBP/R1BQ1RK1 b kq -,c7c6 d1h5 e8f8 f1e1 h7h6 a1b1 h8h7 c2c4 h7g7 h5d1
rqbbr1k1/5pp1/2p1p2p/p1ppPn1P/2P3Q1/1P1PB3/3N1PPN/1R2R1K1 b - -,b8e5 e3c5 e5c7 d3d4 e6e5 d4e5 e8e5 h2f3 e5e1 b1e1
2r5/8/1P4k1/6b1/5p2/3K4/R7/8 b - -,g6f5 d3d4 c8b8 d4c5 g5d8 c5c6 b8b6 c6d7 d8f6 a2a5
8/8/8/1p1k4/1P6/8/8/2K5 b - -,
4K3/8/5k2/1p1p4/8/1P6/2P5/8 b - -,d5c6 c1d2 c6c7 d2e3 c7d7 e3d3 d7e7 d3e3
2kr1b1r/p1ppq1p1/b1p4p/4N3/1nP1p2P/1P4P1/PB2QP2/R3KB1R b KQ -,e7c5 a2a3 b4d3 e5d3 e4d3 e2d3 d8e8 f1e2 c5h5 e1f1
rnbqk2r/pp3pp1/3b1B1p/2pp4/3P4/5NP1/PPP2PBP/RN1QK2R b KQkq -,d8f6 e1h1 c5d4 f3d4 b8c6 d4b5 e8h8 b1c3 c6e7 b5d6
r4rk1/pp3pp1/2pb1q1p/3p1b2/8/1QP2NP1/PP2PPBP/R3R1K1 b - -,a8b8 f3d4 f5d7 e2e4 d5e4 e1e4 b7b5 b3d1 c6c5 d4c2
r2qk2r/1p1nbpp1/3p2b1/p2P3p/3N1R2/4B3/PPPQB1PP/R5K1 b kq -,a5a4 e2d3 g6d3 d2d3 d7e5 d3e2 g7g6 a1f1 e8h8 h2h3
8/8/1k3R2/8/2K5/8/8/8 b - -,a5a4 e2d3 g6d3 d2d3 d7e5 d3e2 g7g6 a1f1 e8h8 h2h3
rnbqk1nr/ppp2ppp/4p3/8/1b1pN2P/2P2N2/PP1PPPP1/R1BQKB1R b KQkq -,d4c3 d1a4 b8c6 d2c3 b4d6 c1g5 f7f6 g5d2 g8e7 g2g4
r3kb1r/ppq2ppp/2n1p3/1BPpPn2/3B2b1/2P2N2/PP1N1PPP/R2QK2R b KQkq -,g4f3 d2f3 f5d4 d1d4 f8e7 e1h1 e8h8 d4e3 f8b8 a2a4
r1bq1k1r/pp1nb1p1/4NnB1/8/3p4/8/PPP2PPP/R1BQ1RK1 b - -,f8g8 e6d8 d7e5 d8f7 e5f7 d1d4 c8e6 f1e1 a8d8 d4e3
4r1k1/p1pb1ppp/Q2b4/3p4/P2P4/2P1P3/4B1qP/R1BK1R2 b - -,g2h2 c1d2 h7h5 e2f3 c7c6 a6e2 h2h4 f3h5 g7g6 h5f3
r3kb1r/pp3ppp/1qn1p3/3p1b2/3Pn2N/2P1B1PP/PP1N1PB1/R2QK2R b KQkq -,b6c7 h4f5 e6f5 e1h1 f8d6 a1c1 c6e7 c3c4 c7d7 f1e1
r1bqk2r/pp1nb1p1/4pnB1/6N1/3p4/8/PPP2PPP/R1BQ1RK1 b - -,e8f8 g5e6 f8g8 e6d8 d7e5 d8f7 e5f7 d1d4 c8e6 f1e1
r1b1k1nr/1pp1qppp/1bn5/p2Bp3/P3P3/1QP2N2/5PPP/RNBR2K1 b kq -,b6c5 b3b5 a8a6 c1g5 g8f6 g5f6 g7f6 f3h4 e8h8 b1d2
4N3/2P1R1pk/2r4p/4P3/1K1p2bP/8/8/8 b - -,h7h8 e7g7 h6h5 g7f7 d4d3 e8f6 g4f5 e5e6 f5g6 f7d7
rnbqkb1r/p4ppp/2p1pn2/1p1pP3/3P4/2N3P1/PPP2PBP/R1BQK1NR b KQkq -,f6g8 g1f3 f8b4 e1h1 b4c3 b2c3 g8e7 f1e1 b8d7 g2f1
5qk1/7p/6p1/3R4/2p2Q2/6P1/Pr5P/5K2 b - -,f8e8 d5e5 e8c6 f4e4 c6f6 e4f4 f6f4 g3f4 b2h2 e5c5
rnb1k2r/pp3pp1/3b1q1p/2pp4/3P4/2N2NP1/PPP2PBP/R2QK2R b KQkq -,f6e6 d1e2 b8c6 d4c5 d6c5 c3d5 e6e2 e1e2 c8g4 h1d1
3K4/8/4k3/1p1p4/8/1P6/2P5/8 b - -,f6e6 d1e2 b8c6 d4c5 d6c5 c3d5 e6e2 e1e2 c8g4 h1d1
8/r3p2R/3p2rP/7K/6P1/1pk5/4R3/8 b - -,
1r5r/4np2/3pb1p1/qp5p/4P2k/P3BP2/4B1PP/1NR3K1 b - -,e6c4 b1c3 h8c8 g2g3 h4h3 e2f1 c4f1 c3d1 a5e1 d1f2
8/k5P1/5K2/8/8/8/8/1q6 b - -,e6c4 b1c3 h8c8 g2g3 h4h3 e2f1 c4f1 c3d1 a5e1 d1f2
r1b2rk1/ppp2p2/2n2q2/1B1p2p1/1b1P3p/P1N1P3/1PQ2PPP/R3K1NR b KQ -,
rn1q1rk1/1pp2ppp/2bbpn2/p5B1/P1QP4/2N2NP1/1P2PPBP/R4RK1 b - -,d6b4 f3e5 c6g2 g1g2 c7c6 c3e4 b4e7 e4c5 d8c7 e5f3
6k1/5p1p/p7/6p1/4np2/5P1P/6PB/2b3K1 b - -,c1e3 g1f1 e4c3 h2g1 a6a5 g1f2 a5a4 g2g4 a4a3 f2e1
4N3/2P3Rk/2r4p/4Pb2/1K1p3P/8/8/8 b - -,h7h8 g7f7 f5d3 e8d6 d3g6 f7f8 h8g7 c7c8q c6c8 f8c8
4r1k1/p1pb1ppp/Q2b4/3p4/P2P4/2P1P3/3BB2q/R2K1R2 b - -,h7h5 d1c2 h5h4 f1h1 h2g3 a1g1 g3f2 g1f1 f2g3 h1g1
r1r3k1/4ppbp/3p1np1/pp1P4/8/2PRBP2/PPN3PP/1K5R b - -,h7h5 h1e1 a8b8 e3d4 g8f8 a2a3 b8b7 b1a2 c8a8 e1e2
r1b1k2r/pp1n1pb1/2p4p/q3p2P/2P4p/P1N1PN1P/1PQ1BP2/R3K2R b KQkq -,e8h8 e1a1 f8d8 f3h4 d7f6 h4f5 d8d1 h1d1 c8f5 c2f5
2r4k/pb2q2P/1p2p3/8/3Pp3/1P2R3/PBQ3PP/5RK1 b - -,c8c2 e3g3 c2b2 h2h3 e4e3 g3g4 e3e2 f1c1 b7d5 g1h2
3r4/8/1P4k1/6b1/5p2/8/R3K3/8 b - -,d8e8 e2f1 g6f5 b6b7 e8b8 a2b2 g5f6 b2b4 f5g4 f1g2
r4rk1/1b3p2/p3pqpp/2p5/3N4/P2Q1P2/1P5P/1R3R1K b - -,f8d8 f1f2 c5d4 b1f1 a8c8 a3a4 f6g5 d3b3 b7c6 b3d3
8/3b4/3kp1p1/pp2p1p1/3pP1P1/PP1B4/4K3/8 b - -,b5b4 a3a4 d7c6 e2e1 d6c7 e1d1 c6b7 d1d2 c7d8 d2e1
2K5/8/3k4/1p1p4/8/1P6/2P5/8 b - -,d7c6 b3b4 c6a8 e2d1 d6c7 d1e2 c7b7 e2d1 b7a6 d1e2
8/8/2B5/3N2k1/3K4/8/8/8 b - -,g5f5 d5b6 f5f4 b6d7 f4f5 c6d5 f5g5 d5e4 g5h6 d4e5
r1bqk2r/pp1pbppp/2n1pn2/6B1/2P4Q/2N5/PP2PPPP/2KR1BNR b kq -,h7h6 g1f3 e8h8 g5h6 g7h6 g2g4 f6e4 h4h6 e4c3 g4g5
rnbqkbnr/ppp2ppp/8/4N3/2B1pP2/2P5/PP1P2PP/RNBQK2R b KQkq -,f8c5 e5f7 d8h4 g2g3 h4e7 f7h8 g8f6 h2h3 g7g6 b2b4
r3k1nr/1pp1qppp/1bn5/p2Bp3/P3P1b1/1QPR1N2/5PPP/RNB3K1 b kq -,g4c8 c1a3 e7f6 b1d2 g8e7 d2c4 b6a7 a1d1 e8h8 d5c6
r2q1rk1/1pp2ppp/n1bbpn2/p5B1/P1QPP3/2N2NP1/1P3PBP/R4RK1 b - -,d6e7 f1e1 f6d7 g5e3 d7b6 c4e2 e7d6 f3d2 h7h6 e1d1
1r6/8/3k2p1/1p5p/4p3/P1Rb3P/1PN2PP1/6K1 b - -,b8e8 c2b4 d3c4 a3a4 d6c5 b4a6 c5d4 a4b5 e8d8 a6b4
r1bq3r/1p3pkp/p1n1p1p1/8/2BP4/2P2N2/PQ3PPP/R4RK1 b - -,c8d7 f1e1 c6a5 c4f1 a8c8 f3e5 d7b5 f1b5 a6b5 a2a4
8/8/8/1p1k4/1P6/8/8/3K4 b - -,
5rk1/5p2/4pq2/3p2pp/8/6B1/Pbr2P1P/3R1RK1 b - -,d5c6 d1e2 c6d6 e2d2 d6d7 d2d3 d7e7 d3e3 e7d7
8/8/8/6Q1/3K4/8/2P2pk1/8 b - -,d5c6 d1e2 c6d6 e2d2 d6d7 d2d3 d7e7 d3e3 e7d7
r2qk2r/pp2bp1p/2n5/3pB1p1/3P4/3BnNPb/PPPNQ2P/R5KR b kq -,f7f6 e5f6 e7f6 e2e3 d8e7 e3e7 e8e7 a1e1 e7d6 d3f1
2Q5/4k1bP/2p2q2/2Pp2p1/3P1pP1/5K2/8/6B1 b - -,
2r3k1/1p1bqppp/p2p1nn1/3P4/PP1P4/1QNR3P/4B1P1/2R3K1 b - -,g6f4 d3f3 c8c3 f3c3 f4e2 g1h2 g7g6 c3c7 e2c1 c7c1
6k1/p4p1p/2Q2pp1/3P1q2/5b2/5N2/PrB2P2/3KR3 b - -,b2c2 c6c2 f5d5 d1e2 d5e6 e2d3 e6d7 f3d4 d7h3 d3c4
r1bqk2r/pp3ppp/2nb1n2/2p5/3p4/1P2PNP1/PB1P1PBP/RN1Q1RK1 b kq -,d6e7 e3d4 c5d4 f1e1 e8h8 b1a3 c8g4 h2h3 g4h5 a3c4
r3k2r/1p1q1ppp/p2bp3/1Bpn4/Q2P4/2P5/PP1B1PPP/R3K2R b KQkq -,d5b6 b5d7 b6d7 d2e3 e8a8 d4c5 d6c5 a4c4 b7b5 c4f4
r1bq1k1r/pp1nb1pB/4Nn2/8/3p4/8/PPP2PPP/R1BQ1RK1 b - -,f8f7 e6d8 e7d8 h7d3 d7b6 d1f3 h8h5 f3g3 c8g4 h2h3
6B1/5N2/8/5K1k/8/8/8/8 b - -,f8f7 e6d8 e7d8 h7d3 d7b6 d1f3 h8h5 f3g3 c8g4 h2h3
r3r1k1/2q1bppp/2n1pn2/1B1P4/P1P5/8/1B2QPPP/R2R2K1 b - -,e6d5 c4d5 e7c5 e2f3 c6e5 f3f4 e8e7 a1c1 a8d8 b2a3
5rk1/5p2/3Bpq2/3p2p1/7p/8/Pbr2P1P/3R1RK1 b - -,e6d5 c4d5 e7c5 e2f3 c6e5 f3f4 e8e7 a1c1 a8d8 b2a3
4r1k1/p1p2ppp/3b4/1Q1p4/P2P4/2P1P2b/3BB2q/R2K1R2 b - -,e8f8 b5d5 h3g2 d5f5 g7g6 f5f2 d6g3 f2g1 h2h3 d1c2
r5r1/1b5k/3qp2p/ppppNp2/5P1P/2P4Q/PPB2P2/2KR2R1 b - -,g8g1 d1g1 d6f8 h3g4 f8f6 g4h5 a8g8 g1g8 h7g8 h5e8
6k1/5p1p/p7/6p1/5p2/5P1P/3n1KPB/2b5 b - -,a6a5 f2e2 d2c4 e2d1 c1e3 d1c2 c4d2 h2g1 d2f1 g1e3
8/8/8/1p6/1Pk5/8/8/2K5 b - -,
3rr1k1/1b2qppp/1p3n2/p1pp4/PB6/1P1PPNP1/5PBP/2RQ1RK1 b - -,a5b4 d1c2 d8c8 c1a1 c8a8 f1e1 h7h6 f3d2 f6d7 d3d4
r1bN3r/pp1nbkpB/5n2/8/3p4/8/PPP2PPP/R1BQ1RK1 b - -,e7d8 h7d3 d7b6 c1f4 c8d7 f1e1 d7c6 d1e2 h8e8 e2d2
4N2k/2P5/2r2Rbp/4P3/1K1p3P/8/8/8 b - -,e7d8 h7d3 d7b6 c1f4 c8d7 f1e1 d7c6 d1e2 h8e8 e2d2
1r1qk2N/ppp2ppp/2n5/3p3n/2PP4/NQ3P2/PP3KBP/R7 b - -,d8h4 f2g1 c6d4 b3e3 e8f8 e3f2 h4f6 a1d1 h5f4 g2f1
1k3r1r/ppbR2p1/2p5/q5pP/2BP2Q1/8/PP3PP1/R5K1 b - -,a5b4 b2b3 f8d8 a1d1 d8d7 g4d7 b4d6 d7d6 c7d6 c4e2
1r5k/4P1R1/7K/8/8/8/8/8 b - -,a5b4 b2b3 f8d8 a1d1 d8d7 g4d7 b4d6 d7d6 c7d6 c4e2
8/3b4/4p1p1/p1k1p1p1/Pp1pP1P1/1P1B4/3K4/8 b - -,c5d6 d2e2 d7e8 e2e1 e8c6 e1d1 d6e7 d1e2 e7f7 e2d1
1kb1B3/2P1K3/3p4/1p6/8/8/8/8 b - -,b8c7 e8b5 d6d5 e7f6 c7d6 b5f1 d5d4 f1e2 c8e6 e2a6
1r3rk1/p1R2p1p/1n2pp2/1P6/1p1RP3/1P3N1P/5PP1/6K1 b - -,b6c8 e4e5 h7h5 d4b4 f6e5 f3e5 c8d6 c7a7 b8b5 b4b5
r2qkbnr/pb1ppppp/1pn5/4P3/8/2B5/P1PP1PPP/RN1QKBNR b KQkq -,e7e6 g1f3 a8c8 d2d4 c6b4 a2a3 b7f3 g2f3 b4d5 c3b2
2kr2nr/1pp1qppp/1bn5/p2Bp3/P3P1b1/BQPR1N2/5PPP/RN4K1 b - -,e7f6 b1d2 g8e7 c3c4 e7d5 c4d5 g4f3 d2f3 c6d4 f3d4
r2q1rk1/ppp3bp/2n3p1/5p1n/3P2b1/2N1BN2/PPPQB1PP/2KR3R b - -,d8d7 c1b1 a8d8 h1e1 h5f6 h2h3 g4f3 e2f3 f8e8 d2e2
3r1rk1/p1q2ppp/1p1p4/5N2/B2Q4/2P2P2/PP3K1P/4R3 b - -,f7f6 e1e7 c7c5 e7g7 g8h8 a4c2 a7a5 g7g4 d8e8 g4h4
3r1r1k/ppp5/2nb1p2/3B2p1/4P3/4B1P1/PPP2P2/R2R2K1 b - -,c6e7 d5e6 f8e8 g1g2 b7b6 d1h1 h8g7 h1h5 e7g6 e6f5
8/8/8/1p1k4/1P6/8/8/1K6 b - -,
1r5k/p1pp2q1/2p1p2p/4P1p1/Q1B2p2/b1B2N1P/PN4P1/2KR3R b - -,a3c5 c4d3 b8a8 c1c2 a7a5 f3d2 a8g8 a4a5 c5b6 a5a4
r4rk1/p4pp1/1ppb1q1p/3p1b2/3N4/1QP3P1/PP2PPBP/R3R1K1 b - -,f5d7 a1d1 a8d8 b3a4 a7a5 e2e3 b6b5 a4c2 g7g6 a2a4
4r3/8/1P4k1/6b1/5p2/8/R7/5K2 b - -,g6f5 b6b7 e8b8 a2b2 g5f6 b2b6 f6d4 b6b4 d4a7 f1e2
1kb5/4KB2/2Pp4/1p6/8/8/8/8 b - -,b8c7 f7d5 c8a6 e7f6 b5b4 f6g5 a6b5 g5f4 b5c6 d5b3
5Bk1/5p2/4p3/3p2p1/7p/5q2/Pbr2P1P/3R1RK1 b - -,c8b7 e7d6 b7c6 d6c6 b8c8 f7e8 c8d8 c6d6 d8e8 d6c5
rnb2rk1/pp4p1/3bp2p/1Npp4/3P4/5NP1/PPP2PBP/R3K2R b KQ -,d6e7 b5c7 c8d7 c7a8 c5d4 e1a1 f8c8 f3d4 b8c6 h1e1
r1bq3r/5pkp/p1n1p1p1/1p6/3P4/2PB1N2/PQ3PPP/R4RK1 b - -,h8e8 f1e1 a8b8 d4d5 e6d5 c3c4 d5d4 e1e8 d8e8 c4b5
8/8/8/8/3K4/8/2P2p2/2Q4k b - -,c6a5 a2a4 c8d7 h2h4 d7c6 f3e5 d8h4 a4b5 a6b5 d3b5
6k1/5p1p/8/p5p1/5p2/5P1P/3nK1PB/2b5 b - -,d2c4 e2d1 c1e3 d1c2 c4d2 h2g1 d2f1 g1e3 f4e3 c2d3
r1bqk2r/pp3ppp/2nb1n2/2p5/3p4/NP3NP1/PB1PPPBP/R2Q1RK1 b kq -,c8f5 a3c4 e8h8 e2e3 d6c7 e3d4 c5d4 f1e1 f5e4 d2d3
r2q1rk1/1pp1bppp/n1b1pn2/p3N1B1/P1QPP3/2N3P1/1P3PBP/R4RK1 b - -,c6e8 f1d1 f6d7 e5d7 e8d7 g5e3 a6b4 c4e2 a8c8 d1d2
r4rk1/ppp2p2/2n2q2/3p1bp1/1b1P3p/P1NBP3/1PQ2PPP/R3K1NR b KQ -,b4c3 b2c3 f5d3 c2d3 a8e8 g1f3 g5g4 f3d2 f6g5 e1h1
8/3K4/8/1pkp4/8/1P6/2P5/8 b - -,b4c3 b2c3 f5d3 c2d3 a8e8 g1f3 g5g4 f3d2 f6g5 e1h1
rnb1k2r/pp1pppbp/1q3np1/2p5/2N1P3/1P1P1Q2/P1PB1PPP/R3KBNR b KQkq -,b6e6 g1h3 b7b5 c4e3 b8c6 a1c1 e8h8 f3g3 d7d6 f1e2
6k1/4Nr2/6P1/7K/8/8/8/8 b - -,b6e6 g1h3 b7b5 c4e3 b8c6 a1c1 e8h8 f3g3 d7d6 f1e2
6k1/7p/6p1/3R4/2p2P2/8/Pr5P/5K2 b - -,b2h2 d5c5 h2c2 c5c7 c2a2 c7c4 g8g7 c4c7 g7h6 f1g1
rn1qkbnr/pp4pp/2p1p3/3pNp2/5Pb1/6P1/PPPPP1BP/RNBQ1RK1 b kq -,g8f6 d2d4 b8d7 c2c4 f8e7 b1c3 e8h8 c1e3 d8b6 c4d5
5r2/8/1P4k1/6b1/5p2/8/8/R4K2 b - -,g6h5 f1f2 f4f3 b6b7 g5h4 f2e3 f3f2 e3e2 h5g4 e2f1
6B1/5N2/8/8/5K1k/8/8/8 b - -,g6h5 f1f2 f4f3 b6b7 g5h4 f2e3 f3f2 e3e2 h5g4 e2f1
2kr1b1q/1pp3p1/6R1/p2p4/P2P1B2/1QP1P3/1P1KBP2/8 b - -,d8d6 f4d6 f8d6 b3d5 h8f8 e2g4 c8b8 g4f3 c7c6 d5d6
7k/2P2R2/2r2N1p/4P3/1K1p3P/7b/8/8 b - -,d8d6 f4d6 f8d6 b3d5 h8f8 e2g4 c8b8 g4f3 c7c6 d5d6
r1bq1rk1/pp3ppp/2nb1n2/2p5/3p4/NP2PNP1/PB1P1PBP/R2Q1RK1 b - -,h7h6 e3d4 c5d4 a3b5 d4d3 b5d6 d8d6 a1c1 c8d7 c1c4
2kr2nr/1pp2ppp/1bn2q2/p2Bp3/P3P1b1/BQPR1N2/3N1PPP/R5K1 b - -,g8e7 c3c4 e7d5 c4d5 g4f3 d2f3 c6d4 f3d4 e5d4 a1b1
r1bqkb1r/pp3ppp/2n2n2/1Bpp4/3P4/2N1P3/PPQ2PPP/R1B1K1NR b KQkq -,c5d4 e3d4 f8d6 g1e2 e8h8 e1h1 f8e8 h2h3 c8d7 c1g5
2b2rk1/p5pp/5n2/2p5/2Pp3P/1Qq3P1/P1P2PB1/R3R1K1 b - -,c3a5 e1e7 a5a6 a1e1 c8f5 g2d5 g8h8 e7f7 a6d6 f7f8
rnbr2k1/ppN3p1/4p2p/2bp4/8/5NP1/PPP2PBP/R3K2R b KQ -,b8a6 c7a8 c5d6 e1h1 c8d7 c2c4 d8a8 f1d1 a8f8 a1c1
5r2/1P6/6k1/6b1/8/5p2/8/R4K2 b - -,
1r6/8/3k2p1/1p5p/4p3/P6P/1PR2PP1/6K1 b - -,h5h4 g1f1 b5b4 a3a4 b4b3 c2c3 b8b4 f1e2 b4a4 c3b3
r1bqk1nr/ppp2pbp/3pn1p1/4p3/2P5/2NPPNP1/PP3PBP/R1BQ1RK1 b kq -,g8h6 b2b4 e8h8 a1b1 f7f5 b4b5 a7a6 a2a4 a6b5 c4b5
r4rk1/p1R2p1p/1n2pp2/1P6/1R2P3/1P3N1P/5PP1/6K1 b - -,f8d8 b4d4 d8c8 c7b7 c8b8 b7b8 a8b8 d4d6 g8f8 f3d4
r1b1kb1r/1pq2p1p/p1n1p3/3pnPp1/NP1N4/2P1B3/P2QB1PP/R3K2R b KQkq -,h7h5 d4c6 b7c6 e3d4 f7f6 f5e6 c8e6 e1h1 c7g7 a1e1
8/8/2K5/1p1p4/1k6/1P6/2P5/8 b - -,h7h5 d4c6 b7c6 e3d4 f7f6 f5e6 c8e6 e1h1 c7g7 a1e1
r4rk1/ppp2p2/2n2q2/3p1bp1/3P3p/P1PBP3/2Q2PPP/R3K1NR b KQ -,
8/8/8/1k4K1/R7/8/8/6Q1 b - -,f5d3 c2d3 a8e8 g1f3 g5g4 f3d2 f6g5 e1h1 h4h3 g2g3
6B1/8/8/4N2k/5K2/8/8/8 b - -,h5h6 g8d5 h6h7 f4f5 h7g7 d5f3 g7f8 f5f6 f8e8 f3c6
2kr3r/1pp1nppp/1bn2q2/p2Bp3/P1P1P1b1/BQ1R1N2/3N1PPP/R5K1 b - -,e7d5 c4d5 g4f3 d2f3 c6d4 f3d4 e5d4 a1b1 h8e8 f2f3
6r1/r3R3/3p3P/7K/6P1/1pk5/4R3/8 b - -,
rn1qkbnr/pp4pp/2p1p3/3pNp1b/5P2/1P4P1/P1PPP1BP/RNBQ1RK1 b kq -,b8d7 d2d4 g8f6 e5d3 f6e4 d1e1 a7a5 a2a4 d8b6 c1b2
6k1/5p1p/8/p5p1/5p2/1n3P1P/6PB/2bK4 b - -,c1e3 d1c2 b3d2 c2d3 d2f1 h2f4 g5f4 d3c4 g8g7 c4b5
5rk1/pb2bpp1/1p1qpn1p/4N3/1PPr4/3B2B1/P3QPPP/3RR1K1 b - -,f6e4 d3e4 d4e4 e2e4 d6d1 e5g6 d1d8 e4b7 f7g6 a2a3
r4rk1/ppp2p2/2n2q2/3p2p1/3P3p/P1PQP3/5PPP/R3K1NR b KQ -,
3r1r1k/ppp5/3b1p2/3Bn1p1/4P3/4B1P1/PPP2PK1/R2R4 b - -,e5g4 e3d4 d6e5 d4c5 e5d6 c5d6 d8d6 d5b7 f8d8 d1d6
8/4K3/3R4/4R3/8/3k4/8/8 b - -,e5g4 e3d4 d6e5 d4c5 e5d6 c5d6 d8d6 d5b7 f8d8 d1d6
2k2r1r/ppbnR1p1/2p5/q5pP/2BP2Q1/8/PP3PP1/R5K1 b - -,a5b6 e7d7 f8f4 g4e6 c8b8 a1d1 b6b2 e6e2 b2e2 c4e2
N1br2k1/pp4p1/n3p2p/2bp4/8/5NP1/PPP2PBP/R3K2R b KQ -,c5d6 e1h1 c8d7 c2c4 d8a8 c4d5 e6d5 f1d1 a6c7 a1c1
r4rk1/p4pp1/1pp2q1p/2bp1b2/3N4/1QP1P1P1/PP3PBP/R3R1K1 b - -,f5d7 e1d1 a8d8 d1d2 h6h5 h2h4 f8e8 b3c2 a7a5 c2a4
2kr3r/1pp2ppp/1bn2q2/p2Pp3/P3P1b1/BQ1R1N2/3N1PPP/R5K1 b - -,g4f3 d2f3 c6d4 f3d4 e5d4 a1b1 h8e8 f2f3 f6e5 b3c4
rqb1k2r/4bppp/ppnppn2/8/2P1PP2/1NNBBQ2/PP4PP/2R2RK1 b kq -,c6a5 b3d4 c8b7 f4f5 e6e5 d4c2 b6b5 c4b5 e8h8 b5b6
3r4/2p3k1/1pnr2pp/p3p3/q3P1P1/2PnPRN1/1P1RQ1K1/5N2 b - -,c6e7 g2g1 a4d7 b2b4 a5a4 d2d1 e7g8 e2g2 d7e7 d1a1
r4r1k/p4ppp/1p6/2p2P2/2pn1PR1/8/PQP3PP/1R4K1 b - -,a8d8 f5f6 g7g6 c2c3 d4f5 g4g5 f8e8 g5f5 g6f5 b2b5
r3rnk1/pb3pp1/3pp3/1q1P2Q1/1P6/4N1R1/P4PPP/4R1K1 b - -,f8g6 d5e6 b5g5 e6f7 g8f7 g3g5 d6d5 e1d1 a8d8 g5g4
1r2k2N/ppp2ppp/2n5/3p3n/2PP3q/NQ3P2/PP4BP/R4K2 b - -,h4h2 c4d5 h5f4 b3e3 c6e7 e3g1 h2h6 g1h1 h6h1 g2h1
r3k2r/ppq1bpp1/2n1p3/1BPpPn1p/Q2B2b1/2P2N1P/PP1N1PP1/R3K2R b KQkq -,g4f3 d2f3 a7a6 b5c6 b7c6 g2g3 c7b7 e1a1 b7b5 a4b5
8/8/8/1p1K4/1k1p4/1P6/2P5/8 b - -,g4f3 d2f3 a7a6 b5c6 b7c6 g2g3 c7b7 e1a1 b7b5 a4b5
3r4/1Q6/5p1k/4q2p/P3P2P/1P3P2/K5R1/8 b - -,d8d2 g2d2 e5g3 b7e7 g3h4 d2g2 h4g5 e7f8 h6g6 f8g8
2Q4Q/4k1b1/2p1q3/2Pp2p1/3P1pP1/5K2/8/6B1 b - -,
rn1q1rk1/1pp2ppp/p2bpn2/8/P1QP1B2/2N2BP1/1P2PP1P/R4RK1 b - -,b8c6 f3c6 b7c6 f4g5 d8d7 g5f6 g7f6 a1b1 f6f5 a4a5
8/8/4p1p1/p1k1p1p1/Pp1pP1P1/3B4/3K4/8 b - -,c5b6 d2c2 b6c6 d3f1 c6d6 f1c4 d6d7 c2d3 d7d6 c4a2
6k1/pp3pp1/4p3/3pP2p/3P4/8/PP3PPP/5K2 b - -,
r2qkbnr/1b1p1ppp/p1n1p3/1pp5/2P5/1P2PN2/PB1PBPPP/RN1Q1RK1 b kq -,b5c4 b3c4 a8b8 b1c3 g8f6 a1b1 f8d6 d2d4 c5d4 e3d4
rn1r2k1/pb3ppp/1p2pn2/8/1bP5/2N2N2/PP1B1PPP/R3KB1R b KQ -,b7f3 g2f3 b8c6 a2a3 b4c5 a1d1 c6d4 f1g2 d4c2 e1e2
r2q3r/1b3pkp/p1n1p1p1/1p6/P2P4/2PB1N2/1Q3PPP/R4RK1 b - -,c6e7 f3e5 e7c6 e5g4 h7h5 g4e3 b5b4 d3e4 d8f6 e4c6
r3k2r/ppq1bpp1/2n1p3/1BPpPn1p/Q2B4/2P2N1P/PP3PP1/R3K2R b KQkq -,a7a6 a2a3 g7g5 b5c6 c7c6 a4c6 b7c6 e1e2 e8d7 g2g4
6k1/5p1p/8/6p1/p4p2/1n3P1P/2K3PB/2b5 b - -,g8g7 c2c3 c1e3 c3b2 g7f6 b2a3 b3c5 a3b4 f6e5 g2g3
r1b2rk1/1p2nppp/p2R4/4P3/2B1p3/2B5/PP3PPP/5RK1 b - -,a8b8 a2a3 h7h5 h2h3 c8f5 f1d1 e7c8 d6d4 c8e7 c3b4
8/8/8/1p1K4/1P1p4/2k5/2P5/8 b - -,a8b8 a2a3 h7h5 h2h3 c8f5 f1d1 e7c8 d6d4 c8e7 c3b4
2Q4Q/4k1b1/2p5/2Pp2p1/3PqpP1/8/5K2/6B1 b - -,
r3k2r/5pp1/2b1p3/p2pPn1p/3P4/R1N2N2/1P1K1PPP/7R b kq -,g7g5 f3g5 a8b8 a3a5 b8b2 d2d3 e8h8 h1g1 b2f2 a5a6
N2r2k1/pp1b2p1/n3p2p/2bp4/P7/5NP1/1PP2PBP/R3K2R b KQ -,d8a8 f3e5 d7e8 g2h3 a6c7 e1h1 g8f8 f1e1 f8e7 a4a5
2b2rk1/p3R1pp/5n2/q1p5/2Pp3P/3Q2P1/P1P2PB1/R5K1 b - -,c8d7 h4h5 f8f7 e7f7 g8f7 a2a3 h7h6 a1b1 a5c7 c2c3
4rrk1/ppp2p2/2n2q2/3p2p1/3P3p/P1PQP3/4NPPP/R3K2R b KQ -,f6e6 e2g1 e8e7 g1f3 f7f6 h2h3 c6a5 f3d2 c7c6 a1c1
R4r2/1P6/6k1/8/8/4bp2/8/5K2 b - -,f8e8 a8e8 e3f4 e8f8 f4h2 f1f2 g6g7 f8f3 h2d6 f2e3
