3r1rk1/ppp1qppp/8/2n1P3/2PPn3/P4P2/1PQ1B2P/RN2K2R b KQ -,e7h4 e1d1 d8d4 b1d2 e4f2 d1c1 f2h1 e5e6 c5e6 b2b4
r1b4r/1pq1kpp1/p2ppn1p/1N6/1b2PB2/6P1/P1PQ1PBP/3R1RK1 b - -,a6b5 d2b4 h8d8 f4d6 d8d6 e4e5 f6e8 e5d6 e8d6 d1d3
8/8/2P2k2/N7/5p1p/6p1/5PP1/6K1 b - -,f6e7 f2g3 h4g3 g1f1 e7e6 f1e2 e6d6 e2f3 d6e6 a5c4
rnbqkb1r/ppp2p2/1n1p2pp/8/2PP4/2N2N2/PP2BPPP/R1BQK2R b KQkq -,f8g7 c1e3 b8c6 d4d5 c6e5 f3e5 g7e5 a1c1 c8f5 d1d2
r4rk1/pbn1pp1p/1p4p1/4b3/2P5/1PN5/P2NB1PP/2R1R1K1 b - -,a8d8 d2b1 f7f6 c3b5 c7b5 c4b5 g8g7 b1a3 e5d6 a3c4
2Q5/5ppk/4pn1p/3pN3/3P4/1r2P3/5PPP/5RK1 b - -,b3b6 e5f7 h7g6 f7e5 g6h7 c8c2 h7h8 c2c7 b6b5 c7c8
8/8/1pn1p3/1p1pP1pp/3PN3/4K1k1/8/8 b - -,d5e4 d4d5 e6d5 e5e6 b5b4 e6e7 c6e7 e3d4 h5h4 d4e5
3q4/5rk1/R5p1/4p2p/2P1QpnP/3rP2K/1P4P1/2B2R2 b - -,f7f6 a6f6 g7f6 g2g3 d3d1 e4f3 d1f1 f3f1 d8c8 h3g2
r1bq1r1k/5ppB/p3pb2/1pQ5/1n1P4/4BN2/PP3PPP/R4RK1 b - -,e6e5 h7e4 c8g4 c5b4 a6a5 b4b3 e5d4 e3d4 f6d4 e4a8
r2q2k1/1p3pp1/p5rp/n1p1pNB1/P3P3/1PP3PP/R4P2/3QR1K1 b - -,d8g5 h3h4 g5d8 d1d8 a8d8 f5e7 g8h7 e7g6 h7g6 e1b1
2kr3r/ppp1q2p/2nbbn2/3pppp1/8/PP1PP1PP/1BPNNPB1/R2Q1RK1 b - -,h7h5 c2c4 h5h4 c4d5 f6d5 g3g4 f5g4 h3g4 d6c5 d2c4
2r3k1/pp1N2b1/3p1p2/7p/4P1nP/8/PPPR4/2K2R2 b - -,g8f7 d2d6 f7e7 d6d5 c8c7 d7c5 g4e3 f1g1 e3d5 g1g7
2rr2k1/p1q2pbp/6p1/4P3/1RbPQP2/P5PP/6B1/2R3K1 b - -,g7f8 b4c4 c7c4 c1c4 c8c4 e5e6 f8g7 e6f7 g8f8 g1h2
r2q1rk1/3n1pp1/1ppbpn1p/p2p1b2/2PP4/PP2PN1P/1B1NBPP1/R2Q1RK1 b - -,f6e4 a1c1 d8e7 c4d5 c6d5 e2b5 d7f6 a3a4 a8c8 d1e2
2r3k1/5p2/p3p1pb/3p3p/2qP4/Q1P2P2/P1R3PP/3R2K1 b - -,h6e3 g1h1 e3d4 a3b3 d4c3 b3c4 c8c4 g2g3 g8f8 f3f4
r1bqkb1r/1p3ppp/p7/n1pN4/8/1P2PN2/P4PPP/R1BQ1RK1 b kq -,f8e7 c1b2 e8h8 d1d3 a5c6 d3c3 f7f6 f1d1 c8e6 d5f6
8/1N1Q4/1p6/2p2K2/3kP3/8/8/8 b - -,f8e7 c1b2 e8h8 d1d3 a5c6 d3c3 f7f6 f1d1 c8e6 d5f6
r1r3k1/3b2p1/1p2p3/pPbpPp1p/P2N1P1P/2PB4/1K4P1/6RR b - -,
r1b4r/1pN1kpp1/p2ppn1p/8/4PB2/6P1/P1Pb1PBP/3R1RK1 b - -,c8d7 d1d2 e6e5 c7a8 h8a8 f4e3 a8c8 f2f3 g7g5 f1d1
5r1k/2r2bpp/p2p4/q7/2P1Q3/2b1NB2/P4PPP/3R1RK1 b - -,a5b4 f3e2 b4b2 e4d3 c3b4 d1b1 b2a3 d3a3 b4a3 b1b6
r1bq1r2/pp1pnppk/2pn4/3P2N1/8/2P5/P4PPP/R1BQR1K1 b - -,h7g6 h2h4 f8h8 d1g4 f7f5 g4g3 f5f4 g3g4 h8h4 g4h4
4r1k1/1p2rpbp/pq1p1np1/3P4/2P5/1N1QpP2/PP4PP/3BRR1K b - -,f6d7 d3c2 e8c8 d1e2 a6a5 e1b1 a5a4 b3c1 b6a5 c2d1
2r5/2r2p2/4p1p1/1p3k2/3R1P1p/1P4P1/1KP1R2P/8 b - -,h4g3 h2g3 f5g4 d4d3 b5b4 e2d2 g4h3 d3d4 h3g3 d4b4
r1b2rk1/p4ppp/1pnqp3/2pp4/3P1P2/2P1P3/PPBN2PP/R2Q1RK1 b - -,f7f5 d2f3 a7a5 f1f2 b6b5 g1h1 a8b8 d1g1 b5b4 g2g4
r2qr1k1/3n1pp1/1ppbpn1p/p2pNb2/2PP4/PP2P2P/1B1NBPP1/R2Q1RK1 b - -,a8c8 a1c1 c8c7 c4d5 c6d5 e2b5 e8f8 c1c7 d8c7 d1a1
2kr3r/ppp1q2p/2nbbn2/3pppp1/1P6/P2PP1PP/1BPNNPB1/R2QK2R b KQ -,f5f4 b4b5 c6b8 e1h1 b8d7 c2c4 h8g8 d3d4 d5c4 d1c2
r1r3k1/3b2p1/1p2p3/pP1pPp1p/P2P1P1P/3B4/1K4P1/6RR b - -,
8/2P5/2K5/8/1k6/7b/4B3/8 b - -,h3f5 c6b6 b4c3 e2a6 f5d7 b6b7 c3d4 b7a7 d4e5 a7b8
N1b4r/1p2kpp1/p2ppn1p/8/4Pb2/6P1/P1P2PBP/3R1RK1 b - -,c8d7 a8b6 f4e5 d1d3 d7b5 c2c4 f6d7 c4b5 d7b6 f1b1
2r5/2r2p2/4p1p1/1p3k2/3R1P1P/1P6/1KPR3P/8 b - -,c8h8 d2f2 c7c8 b2a3 h8h4 a3b4 c8b8 b4a5 b5b4 d4c4
6Q1/1q4pk/5p1p/2Pn4/3p4/6P1/2r2PNP/5RK1 b - -,h7g6 g2h4 g6g5 c5c6 b7f7 g8f7 d5f4 f7g7 g5h5 g7f7
r4r2/2p2bk1/1b1pqp1p/4p1p1/nP2P3/2PQ2BP/P2N1PPN/R3R1K1 b - -,a4b2 d3c2 a8a2 a1a2 e6a2 e1b1 b2a4 c2c1 f8c8 h2f1
8/p7/Np6/1k2K3/1P1P4/8/P7/8 b - -,f8d8 d3c2 c7c5 a2a3 d6d5 e4d5 e6d5 h2g4 f7g6 d2e4
8/8/4p3/2p1r1kR/2K3P1/8/8/8 b - -,
r3k1nr/p1p2pp1/2pb1q2/3p2Pp/3P1P2/5N2/PPP5/RNBQ1RK1 b - -,f6e6 f1e1 e6e1 d1e1 e8f8 c2c4 d5c4 b1d2 a8e8 f3e5
1rn5/4qk1p/5RpP/1bQ1PpP1/1Pp2P2/2P5/7K/2R5 b - -,f7e8 c5d5 b5a4 d5g8 e8d7 f6f7 e7f7 g8f7 d7c6 f7h7
r2q1rk1/pp3pbp/5np1/2p5/2P1p1b1/BPNnP1P1/P1QN1PBP/R4RK1 b - -,d8a5 d2e4 f6e4 c3e4 a8d8 h2h3 g4h5 a3c1 g7a1 c1d2
rnbqk2r/ppp2pb1/1n1p2pp/8/2PP4/2N1BN2/PP2BPPP/R2QK2R b KQkq -,b8c6 d4d5 c6e5 f3e5 g7e5 a1c1 c8f5 d1d2 h6h5 e1h1
3r1rk1/ppp2ppp/8/2n1P3/2PPn2q/P4P2/1PQ1B2P/RN1K3R b - -,d8d4 b1d2 e4f2 d1c1 h4f4 c2c3 d4d2 c3d2 c5b3 c1c2
r2qkb1r/1p3ppp/p3b3/n1pN4/4P3/1P3N2/P4PPP/R1BQ1RK1 b kq -,e6d5 e4d5 f8e7 c1f4 e8h8 d5d6 e7f6 a1c1 b7b6 b3b4
3rr1k1/pp3ppp/1b4b1/1q6/1P1P2Q1/P3B3/4NPPP/2RRK3 b - -,g6h5 e2c3 h5g4 c3b5 g4d1 e1d1 a7a6 b5c3 b6d4 e3d4
2kr3r/ppp1q2p/2nbbn2/1P1pp1p1/5p2/P2PP1PP/1BPNNPB1/R2QK2R b KQ -,c6b8 e1h1 b8d7 c2c4 h8g8 d3d4 d5c4 d1c2 e6d5 d4e5
1r5k/p4p2/3q1Np1/2pP1n2/4p2P/1PQ3P1/1P3P2/4R1K1 b - -,f5d4 f6e4 d6d5 e4c5 h8g8 c5e4 d5d8 g1g2 b8b3 c3c4
r3kb1r/1bq2p1p/p2p1Pp1/2p3P1/P3N3/5Q1B/1PP4P/R3R1K1 b kq -,f8e7 f6e7 b7e4 e1e4 c5c4 a1f1 c7c5 e4e3 c5e3 f3e3
rnq1kb1r/ppp1pppp/5nB1/3pN3/3P4/4PQ2/PPP2PPP/RNB1K2R b KQkq -,
r3r1k1/2qn1pp1/1ppbpn1p/p2pNb2/2PP4/PP2PN1P/1B2BPP1/R2Q1RK1 b - -,e8c8 a1c1 c7d8 e2d3 f6e4 e5d7 d8d7 d1e2 d7e7 a3a4
4b3/6k1/3bp1p1/5r2/1q1P3P/p1N1QNP1/R4P2/6K1 b - -,e8c6 f3g5 c6d5 a2c2 d5c4 c2c1 a3a2 d4d5 b4a3 g5e6
8/p5k1/5pp1/7p/1q6/2p1B3/PpK5/7Q b - -,b4b5 e3c5 b5c5 h1e4 b2b1b c2b1 c5b5 b1c2 b5b2 c2d3
8/8/4p3/2p1R3/2K2kP1/8/8/8 b - -,
8/2P5/4k3/N7/5p1p/6p1/5PP1/6K1 b - -,g3f2 g1f2 e6d7 a5c4 d7c7 f2f3 c7d7 f3f4 d7c6 c4e5
r2qk2r/1b3pb1/pn1pN1p1/1p2p2n/4P3/P1N1BP1P/1PPQB3/2K3RR b kq -,f7e6 g1g6 g7f6 f3f4 h5f4 e3b6 d8b6 g6f6 e8e7 f6f4
2Q5/5Npk/4p2p/3p4/3Pn3/1r2P3/5PPP/5RK1 b - -,f7e6 g1g6 g7f6 f3f4 h5f4 e3b6 d8b6 g6f6 e8e7 f6f4
4r1k1/1p3pp1/p4qrp/n1p1pN1P/P3P3/1PP3P1/3R1P2/3QR1K1 b - -,a5c4 b3c4 g6g5 f5e3 f6e6 g1g2 e8f8 d2d6 e6c8 d1f3
r1bq1r2/pp1pnpp1/2pn2k1/3P2N1/7P/2P5/P4PP1/R1BQR1K1 b - -,f8h8 d1g4 f7f5 g4g3 f5f4 g3g4 h8h4 g4h4 d6f5 h4g4
r4r2/2p2bk1/1b1pq3/4p1pp/nP2Pp2/2P2P1P/P1QN2P1/R3RNBK b - -,g5g4 f3g4 h5g4 h3g4 f8h8 f1h2 e6g4 c3c4 g4g3 d2f3
7R/pb6/1p3pp1/5k1p/2P5/3Q1P1q/PP3P2/6K1 b - -,c7c5 f1h2 f8h8 b4c5 b6c5 g1c5 a4c5 d2b3 c5d7 c2d2
3r2k1/1br1q2p/pnn1p1pP/1pppPpP1/5P2/1PPP2N1/PQ2N1BK/2R2R2 b - -,d5d4 c3d4 c6d4 e2d4 d8d4 g2b7 c7b7 b2a3 g8f7 a3c5
r1b4Q/ppq2p1p/1np1kP2/4p3/2P3r1/P1NB4/1P5P/2KR1R2 b - -,g8f7 d3d4 c5c4 b3b4 d8a8 a2a3 c6a7 c1a1 b7c6 f1h1
r5k1/2rb2p1/1p2p3/pP1pPp1p/P2P1P1P/3B2P1/1K6/6RR b - -,
5r1k/2r3pp/p2R4/8/2N1Q3/2b2B2/q4PPP/5RK1 b - -,a6a5 c4e5 a2g8 e5c6 f8e8 e4a4 g8f8 a4d1 g7g6 d6d3
r2q1rk1/ppp2ppp/2npbNn1/8/2BPP3/5N1P/PP3PP1/R1BQ1RK1 b - -,g8h8 c4e6 f7e6 f6g4 d6d5 e4d5 d8d5 g4h2 g6f4 f1e1
8/8/4p3/2K1k3/6P1/8/8/8 b - -,
r5k1/1p4p1/p6p/2pn1P2/P2p2RN/3P4/qPPQ1P1P/6K1 b - -,a8e8 h4f3 g8f7 b2b3 a2b1 g1g2 d5f6 g4h4 b7b6 b3b4
2r3k1/5p2/p3p1p1/3p3p/2qP4/Q1P1bP2/P1R3PP/3R3K b - -,e3d4 a3b3 d4c3 g2g4 h5g4 b3c4 c8c4 f3g4 g8f8 h2h4
r2qk2r/1b3pb1/pn1p2p1/1p2p2n/4P3/PNN1BP1P/1PPQB3/2K3RR b kq -,b6c4 e2c4 b5c4 b3a1 h5f4 h3h4 d8f6 c1b1 a8d8 h4h5
r1b2r2/5pk1/1p1b4/p1pP2p1/P3qp2/1P1BP1Pp/3Q1P1P/2RRN1K1 b - -,e4d5 d2c3 d5e5 e3f4 g5f4 d3e4 e5c3 c1c3 d6e5 c3f3
r1bqk2r/ppp2pb1/1nnp2pp/3P4/2P5/2N1BN2/PP2BPPP/R2QK2R b KQkq -,c6e5 f3e5 g7e5 a1c1 c8f5 d1d2 h6h5 e1h1 e8h8 c3b5
8/6k1/2bbp1p1/5rN1/1q1P3P/p1N1Q1P1/R4P2/6K1 b - -,
1nkr3r/ppp1q2p/3bbn2/1P1pp1p1/4Pp2/P2P2PP/1BPNNPB1/R2QK2R b KQ -,d5e4 g3f4 g5f4 g2e4 b8d7 e2c3 h8g8 d1f3 d7c5 e1a1
8/5k2/R7/6pK/8/5P2/6rP/8 b - -,
3r1rk1/1p3pp1/pq2p2p/8/1n1PN2Q/4R3/PP1R1PPP/6K1 b - -,d8c8 h2h3 c8c1 g1h2 b4d5 e3b3 b6c7 h4g3 c7c4 g3d3
r2q1rk1/pb1nbppp/1p2pn2/2pp4/3P4/1P1BPN2/PBPNQPPP/R2R2K1 b - -,d8e8 c2c4 c5d4 e3d4 a8c8 a1c1 e7d6 f3e5 c8c7 f2f4
rnq1kb1r/ppp1pppp/5nN1/3p4/3P4/3BPQ2/PPP2PPP/RNB1K2R b KQkq -,h7g6 c2c4 e7e6 b1c3 d5c4 d3c4 f8b4 c1d2 c7c5 a2a3
r4rk1/pp3ppp/2n1pn2/3q4/3P4/2P1BB1P/P4PP1/R2Q1RK1 b - -,d5d8 c3c4 a8c8 a1c1 h7h6 d1d2 d8e7 f1d1 f8d8 d2b2
8/8/3Kpk2/8/6P1/8/8/8 b - -,
4r1k1/1p3pp1/p2R1q1p/n1p1pNrP/P3P3/1PP3P1/5P2/3QR1K1 b - -,g5f5 e4f5 f6g5 d6d7 a5c6 d7b7 g5f5 d1d5 e8e6 b7c7
r2qkbnr/ppp2ppp/8/3p4/6b1/P3PP1P/1PP2P2/RNBQKB1R b KQkq -,g4h5 f1e2 g8f6 c2c4 d5c4 d1a4 c7c6 a4c4 f8e7 c4c2
2b5/2p5/1p1k4/1P3P1p/2P4N/4K3/8/8 b - -,d6c5 e3d3 c8d7 d3c3 d7e8 h4f3 c5d6 c3d4 e8f7 f3e5
8/1N6/1p6/2pk1K2/8/3Q4/4P3/8 b - -,d6c5 e3d3 c8d7 d3c3 d7e8 h4f3 c5d6 c3d4 e8f7 f3e5
r1bq3r/pp1pnpp1/2pn2k1/3P2N1/6QP/2P5/P4PP1/R1B1R1K1 b - -,f7f5 g4g3 f5f4 g3g4 h8h4 g4h4 d6f5 h4g4 f5h6 g4f4
1r1r3k/5pp1/2bppq1p/p1p5/2P1BP2/1P2P3/P1QR2PP/3R2K1 b - -,b8c8 h2h3 a5a4 b3a4 d6d5 c4d5 e6d5 e4d5 c6d5 d2d5
r1b4Q/ppq2p1p/1np1kP2/8/2P2p2/P1NB4/1P5P/2K1R3 b - -,b8c8 h2h3 a5a4 b3a4 d6d5 c4d5 e6d5 e4d5 c6d5 d2d5
7Q/5Npk/4p2p/3p4/3P4/1r2P3/3n1PPP/5RK1 b - -,b8c8 h2h3 a5a4 b3a4 d6d5 c4d5 e6d5 e4d5 c6d5 d2d5
2r3k1/2rb2p1/1p2p3/pP1pPp1p/P2P1P1P/3B2P1/1K6/2R4R b - -,
8/6k1/3bN1p1/3b1r2/1q1P3P/p1N1Q1P1/R4P2/6K1 b - -,
5k2/3q1r2/R5Q1/4p2p/2P2p1P/1P1r4/6P1/2B2nK1 b - -,d7d6 a6d6 d3d6 g6d6 f8e8 d6e5 f7e7 e5h5 e8d8 c1f4
8/8/3K1k2/4p1P1/8/8/8/8 b - -,
3r4/p1k1P2p/2p3p1/5p2/5p1P/1PP2P2/2K3P1/4R3 b - -,d8e8 c2d3 c7d6 d3d4 e8e7 e1e7 d6e7 d4e5 h7h5 c3c4
5k2/1P1p3K/8/3Bb1P1/8/8/8/8 b - -,e5c7 g5g6 f8e7 g6g7 e7d6 d5f3 d6c5 g7g8q c5b6 g8b3
1r5k/p4p2/3q2p1/2pP4/3nN2P/1PQ3P1/1P3P2/4R1K1 b - -,d6e5 d5d6 e5d5 e1e3 b8d8 c3c4 d5c4 b3c4 f7f5 e4c5
7R/pb6/1p3pp1/7p/2PQ1k2/5P1q/PP3P2/6K1 b - -,d6e5 d5d6 e5d5 e1e3 b8d8 c3c4 d5c4 b3c4 f7f5 e4c5
r1b1kbnr/1pp2ppp/p1n5/2q1p3/B7/2N2N2/PPPPQPPP/R1B1K2R b KQkq -,g8e7 f3e5 b7b5 e5c6 c5c6 a4b3 c8b7 b3d5 c6b6 d2d3
6k1/p6p/5ppb/8/8/1Q6/PP1q1PPP/R5K1 b - -,g8h8 a1d1 d2f4 b3f7 f4b8 f7f6 h8g8 d1d8 b8d8 f6d8
r3k1nr/p1p2pp1/2pb4/3p1qPp/3P1P2/3Q1N2/PPP5/RNB2RK1 b - -,f5h3 f3e5 h3d3 e5d3 g8e7 b1d2 f7f6 d2f3 e7f5 c1d2
2b5/2p5/1p4N1/1P2kP1p/2P5/4K3/8/8 b - -,e5d6 e3f4 d6c5 g6e7 c8f5 e7f5 c5c4 f5g7 c4c5 g7h5
r2qk2r/1p2bppp/p7/n1pP4/5B2/1P3N2/P4PPP/R2Q1RK1 b kq -,e8f8 d5d6 e7f6 a1c1 d8d7 c1c5 a5c6 d1d3 h7h6 h2h4
r1b1kb1r/pp1ppppp/1qn2n2/2P5/8/1QP2N2/PP2PPPP/RNB1KB1R b KQkq -,b6c5 c1g5 d7d5 b1d2 g7g6 g5f6 e7f6 e2e3 f8e7 f1e2
8/p7/kp2K3/8/1P1P4/8/P7/8 b - -,b6c5 c1g5 d7d5 b1d2 g7g6 g5f6 e7f6 e2e3 f8e7 f1e2
2kr3r/ppp1q1pp/2nbbn2/3pp3/4Pp2/PP1P2PP/1BPNNPB1/R2QK2R b KQ -,h8f8 e4d5 e6d5 g2d5 f6d5 d2e4 d6c5 c2c4 d5f6 e4c5
7Q/6p1/4p1kp/3pN3/3P4/1r2P3/3n1PPP/5RK1 b - -,e7f7 b3b4 h8f8 b4b5 f4g3 f2f4 c6e7 d2f3 f6h5 e1h1
8/6k1/3bQ1p1/5r2/1q1P3P/p1N3P1/R4P2/6K1 b - -,
r2r1nk1/pp2qp1p/2n3p1/3b1P2/3P2PP/4P2Q/3B2BN/2R2RK1 b - -,h7h6 f5g6 f8g6 h4h5 g6f8 c1c5 d5e6 h3g3 f8h7 f1c1
r4rk1/pp3pbp/5np1/q1p5/2P1N1b1/BPNnP1P1/P1Q2PBP/R4RK1 b - -,f6e4 c3e4 a8d8 h2h3 g4h5 g3g4 h5g4 a3c5 d3c5 b3b4
r3kb1r/pppqn1pp/2n2pb1/3pp3/3PP1P1/P1N1BN1P/1PPQBP2/R3K2R b KQkq -,d5e4 f3e5 f6e5 d4d5 c6d8 e1a1 a7a6 h3h4 h7h6 f2f3
8/2P5/4k3/N7/5p1p/8/5KP1/8 b - -,e6d7 c7c8q d7c8 f2f3 c8c7 a5b3 c7c6 b3d2 c6c5 f3f4
r3k1nr/p1p2pp1/2pb4/3p1qPp/3P1P2/5N2/PPP2R2/RNBQ2K1 b - -,a7a5 d1e2 g8e7 b1c3 a5a4 c1d2 a4a3 b2b3 f7f6 f3e5
5r1k/4Q1pp/p2R4/8/2r5/2b2B2/q4PPP/5RK1 b - -,c4d4 e7f8 a2g8 f8g8 h8g8 d6d4 c3d4 f1d1 d4f6 d1d7
8/p3R2p/2pk2p1/5p2/2K2p1P/1PP2P2/6P1/8 b - -,h7h5 e7a7 d6e6 c4c5 e6f6 b3b4 g6g5 c5c6 g5h4 a7a1
2r2rk1/1p3pp1/pq2p2p/8/1n1PN2Q/4R2P/PP1R1PP1/6K1 b - -,b4d5 e3b3 c8c1 g1h2 b6c7 h4g3 c7c4 g3d3 c4c6 d3g3
2r3k1/3b2p1/1p2p3/pP1pPp1p/P2P1P1P/3B2P1/1K6/2R5 b - -,
r2qnrk1/3nbp1p/p2pb1p1/4p1P1/1Q2PP2/1N2B3/PPP1N2P/2KR1B1R b - -,e6g4 h1g1 a6a5 b4a4 e5f4 e3f4 d7b6 a4b5 g4d7 b5d3
2r3k1/5p2/p3p1p1/3p3p/2qb4/1QP2P2/P1R3PP/3R3K b - -,d4c3 g2g4 h5g4 b3c4 c8c4 f3g4 a6a5 g4g5 g8g7 h1g2
r1b1kb1r/pp1ppppp/2n2n2/2q5/8/1QP1BN2/PP2PPPP/RN2KB1R b KQkq -,c5a5 b1d2 g7g6 e3f4 f8g7 e2e4 e8h8 f1c4 d7d6 e1h1
r3r1k1/2qN1pp1/1ppbp2p/p2p1b2/2PPn3/PP2PN1P/1B2BPP1/R2Q1RK1 b - -,c7d7 a3a4 a8c8 f3d2 e4f6 d2f3 d7e7 e2d3 f6e4 d1e2
r5kr/pp1n3p/6pB/3pQ3/1p1P4/8/PP3PPP/R3R1K1 b - -,d7e5 d4e5 g8f7 e5e6 f7f6 h2h4 h8e8 h6g5 f6g7 e6e7
8/p5k1/5pp1/1q5p/5B2/2p5/PpK5/7Q b - -,b5f5 c2c3 b2b1q h1b1 f5b1 c3d4 h5h4 f4d6 g7h6 d4d5
2r3k1/pp3ppp/8/1r6/3p1B2/1P4P1/P5B1/R5K1 b - -,g7g5 g2f1 b5c5 f4d2 d4d3 a1d1 c5e5 d2b4 e5d5 d1d3
8/1p1R1ppk/pr3q1p/n1p1pNrP/P3P3/1PP2RP1/5P2/3Q2K1 b - -,b6b3 f5g7 b3b1 f3f6 b1d1 d7d1 h7g7 f6f3 g5h5 d1d7
5k2/1Pbp3K/6P1/3B4/8/8/8/8 b - -,b6b3 f5g7 b3b1 f3f6 b1d1 d7d1 h7g7 f6f3 g5h5 d1d7
r1bqkbnr/pp1p1p1p/6p1/2p5/2PnP3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq -,g8e7 f3d4 c5d4 c3d5 e7d5 c4d5 f8g7 f1c4 e8h8 e1h1
r4rk1/pp3pbp/6p1/q1p5/2P1N1b1/BP1nP1P1/P1Q2PBP/R4RK1 b - -,a8d8 h2h3 g4h5 g3g4 h5g4 a3c5 d3c5 b3b4 a5c7 b4c5
r2q2k1/1ppnbrpp/p1n1Qp2/3p2B1/3P1P1P/2NBP3/PPP3P1/2KR3R b - -,d7f8 e6h3 e7b4 c3e2 b4d6 a2a3 c6a5 h3f3 c7c6 g5h6
8/1N6/1pk5/2p2K2/4Q3/8/4P3/8 b - -,d7f8 e6h3 e7b4 c3e2 b4d6 a2a3 c6a5 h3f3 c7c6 g5h6
r4rk1/pp1q1ppp/2n1pn2/6B1/3P4/2P2B1P/P4PP1/R2Q1RK1 b - -,a8e8 g5f6 g7f6 f3c6 d7c6 d1g4 g8h8 g4h4 e6e5 a1d1
r3k1nr/p1p2pp1/2pb4/3p1qPp/3P1P2/8/PPP4N/RNBQ1RK1 b - -,a8b8 c2c4 d5c4 b1d2 d6f4 d1f3 f5g5 g1h1 f4h2 f3f7
6k1/3b2p1/1p2p3/pP1pPp1p/P2P1P1P/3B2P1/8/2K5 b - -,
r3k3/2n2ppp/2N5/2B4P/4P3/Pp1b1P2/1P3KP1/R7 b - -,f7f5 e4f5 d3f5 a1e1 c7e6 c5b4 e8f7 e1d1 f7e8 g2g4
rnb1kbnr/pp3ppp/1q2p3/2ppP3/3P1B2/5N2/PPPN1PPP/R2QKB1R b KQkq -,
2Q5/6p1/7k/8/4KP1p/6q1/8/8 b - -,h6h7 e4e5 g3e3 e5d5 e3f4 c8h3 f4g3 h3f5 h7h6 f5f8
r2r3k/1p4pp/5P2/p4B2/1B3P2/P2pP3/6bP/5RK1 b - -,a5b4 g1g2 b4a3 f6f7 d3d2 f5e6 g7g6 e6b3 h8g7 f4f5
r3r1k1/3q1pp1/1ppbp2p/p2pNb2/2PPn3/PP2P2P/1B2BPP1/R2Q1RK1 b - -,d7b7 e5f3 b6b5 c4c5 d6b8 f3d2 b7c7 f2f4 e4g3 f1f3
rn1qkb1r/pBp2ppp/5n2/4p3/3p4/3P2P1/PPP1PP1P/RNBQ1RK1 b kq -,c7c6 b7a8 d8c8 e2e3 f8c5 e3d4 c5d4 c2c3 d4b6 b1d2
1rb2nk1/p5N1/2B1p2p/5p2/3q1PpN/6P1/PPQ1R1P1/1K6 b - -,d4g1 c2c1 g1c1 b1c1 g8g7 e2c2 c8a6 a2a3 a6d3 c2c3
8/6k1/4Q1p1/5r1P/1q1P4/p1N3b1/R4P2/6K1 b - -,
2r3k1/pp3ppp/8/7r/3p1B2/6P1/PP4B1/R5K1 b - -,h5b5 b2b3 g7g5 g2f1 b5c5 f4d2 d4d3 a1d1 c5e5 g3g4
4rrk1/pp4qp/2npb1p1/2p2p2/2P2P2/2NPR1P1/PP1Q2BP/R6K b - -,e6f7 a1e1 e8e3 e1e3 f8e8 g2c6 e8e3 d2e3 b7c6 h1g2
8/5k2/R6K/6p1/8/5P2/7P/6r1 b - -,
r2q1rk1/pp2nppp/3b1n2/2ppNb2/3P1P2/PB2P3/1P4PP/RNBQ1RK1 b - -,c5c4 b3c2 f5c2 d1c2 f6e4 b1c3 e4c3 b2c3 f7f6 e5f3
8/p5k1/5pp1/5q1p/5B2/2K5/Pp6/7Q b - -,b2b1q h1b1 f5b1 f4d6 h5h4 c3d4 h4h3 d4c5 g7h6 c5c6
r4rk1/ppp2ppp/2npbqn1/6B1/2BPP3/5N1P/PP3PP1/R2Q1RK1 b - -,h7h6 g5f6 e6c4 d4d5 c4f1 d1f1 c6b4 f6c3 a7a5 g1h2
8/1Nk1Q3/1p6/2p2K2/8/8/4P3/8 b - -,h7h6 g5f6 e6c4 d4d5 c4f1 d1f1 c6b4 f6c3 a7a5 g1h2
r2q1rk1/1p2bppp/p2P4/n1p5/5B2/1P3N2/P4PPP/R2Q1RK1 b - -,f8e8 d6e7 d8e7 f1e1 e7f6 d1d7 e8e1 a1e1 h7h6 f4e5
2b1r2k/p1b3pp/1p2Pp1q/2pB4/P1P2P2/4R1QP/3rN3/6RK b - -,f6f5 g3e1 d2c2 g1g2 h6f6 e1b1 c2d2 b1b5 e8e7 b5c6
r1bqkb1r/pp1pnp1p/6p1/2p5/2PNP3/2N5/PP1P1PPP/R1BQKB1R b KQkq -,c5d4 c3d5 e7d5 e4d5 f8c5 f1e2 e8h8 e1h1 d7d6 d2d3
r6r/ppp2kp1/8/3pN2n/3BPp1q/3P4/PPP3P1/RN1Q1RK1 b - -,f7g8 e5g6 h4g5 g6h8 c7c5 d4c3 h5g3 h8g6 g5g6 f1f4
r6k/pbq3pp/1ppb3Q/3p4/8/PP1B4/1BP2PPP/R5K1 b - -,f7g8 e5g6 h4g5 g6h8 c7c5 d4c3 h5g3 h8g6 g5g6 f1f4
3r1rk1/pp3pbp/6p1/q1p5/2P1N1b1/BP1nP1PP/P1Q2PB1/R4RK1 b - -,g4h5 g3g4 h5g4 a3c5 d3c5 b3b4 a5c7 b4c5 g7a1 f1a1
r2qk2r/ppp2p2/1n1p2p1/3Pbb1p/2P5/2N1B3/PP1QBPPP/2R2RK1 b kq -,e8h8 c3b5 b6a4 b5d4 a4c5 d4f5 g6f5 e2f3 a7a5 g2g3
